回転角度θ（度）,∂J/∂θ
20.0,-7022115694.222483
20.2020202020202,-7158564294.785395
20.404040404040405,-6979804824.90557
20.606060606060606,-6849169162.547674
20.80808080808081,-6857059557.6845255
21.01010101010101,-6947766587.313899
21.21212121212121,-6857160738.2763195
21.414141414141415,-6894084133.7170105
21.616161616161616,-6916807411.766062
21.818181818181817,-7027049072.999739
22.02020202020202,-6772491809.774044
22.22222222222222,-6524839232.596385
22.424242424242426,-6113706423.582798
22.626262626262626,-6310955083.013446
22.828282828282827,-6307472220.864393
23.03030303030303,-6094816593.122795
23.232323232323232,-6506725911.310772
23.434343434343432,-6540490251.651986
23.636363636363637,-6629157507.854364
23.838383838383837,-6934533446.412918
24.04040404040404,-6838177432.692906
24.242424242424242,-7115026542.068832
24.444444444444443,-7465396312.003606
24.646464646464647,-7632773339.171109
24.848484848484848,-7282601766.7878475
25.050505050505052,-7726648733.983193
25.252525252525253,-7761216672.857534
25.454545454545453,-7950374173.947162
25.656565656565657,-7727306120.076752
25.858585858585858,-7922998464.945606
26.060606060606062,-8235262142.741448
26.262626262626263,-7884250267.932101
26.464646464646464,-8492676936.844394
26.666666666666668,-9008904374.261047
26.86868686868687,-9466228925.956697
27.070707070707073,-9487447399.838236
27.272727272727273,-9729068451.140194
27.474747474747474,-10410858364.206867
27.676767676767675,-10805441903.01266
27.87878787878788,-11510482791.271465
28.080808080808083,-12388634629.1116
28.282828282828284,-12333042691.695684
28.484848484848484,-12063857910.051474
28.686868686868685,-11355363362.908062
28.88888888888889,-10132613670.073956
29.09090909090909,-9427669864.55196
29.292929292929294,-7094549817.588764
29.494949494949495,-5331070725.640884
29.696969696969695,-3495830053.9957657
29.8989898989899,-884192138.4569334
30.1010101010101,3544940547.7174134
30.303030303030305,11190720624.05086
30.505050505050505,17348254430.363262
30.707070707070706,24183831716.74793
30.909090909090907,30001617782.18038
31.11111111111111,34312186018.78897
31.313131313131315,37128833577.25139
31.515151515151516,39051725226.39558
31.717171717171716,40168872653.69435
31.919191919191917,40162567977.60332
32.121212121212125,40676489743.42972
32.323232323232325,40657208510.50665
32.525252525252526,41086860150.00372
32.72727272727273,41018902699.532166
32.92929292929293,40926032060.03547
33.131313131313135,40626728277.50172
33.333333333333336,39773231587.33889
33.535353535353536,39993425136.610306
33.73737373737374,39542425919.998314
33.93939393939394,39200154283.75789
34.141414141414145,38503602496.06435
34.34343434343434,37922771440.288506
34.54545454545455,38025861308.76206
34.74747474747475,38226353563.43463
34.94949494949495,37984563211.208176
35.15151515151515,38234009144.00777
35.35353535353535,38188982234.56137
35.55555555555556,38025180915.294975
35.75757575757576,37905290060.287315
35.95959595959596,37804191588.306244
36.161616161616166,37176520269.88638
36.36363636363636,37220842198.70209
36.56565656565657,37417032028.24536
36.76767676767677,37444639822.710594
36.96969696969697,37169060061.97251
37.17171717171718,36904379929.81904
37.37373737373737,36490764275.81915
37.57575757575758,36779243530.240585
37.77777777777778,36682483388.76028
37.97979797979798,36477245307.912445
38.18181818181818,36559463540.63182
38.38383838383838,36957650522.6221
38.58585858585859,36833871996.42815
38.78787878787879,36924918410.35815
38.98989898989899,36796647850.281525
39.19191919191919,36963716141.739075
39.39393939393939,36964067810.16519
39.5959595959596,36995156723.10617
39.7979797979798,36956504694.17163
40.0,36968697051.67123
