スケールs,∂J/∂s
1.2,-33350960272.6538
1.206060606060606,-33536174745.76835
1.2121212121212122,-34006941817.077106
1.218181818181818,-34288252848.570812
1.2242424242424241,-34265583612.888763
1.2303030303030302,-34533496480.57578
1.2363636363636363,-34020845663.122765
1.2424242424242424,-34202548511.210045
1.2484848484848485,-33735787312.19013
1.2545454545454544,-32781721966.312027
1.2606060606060605,-32595275520.184975
1.2666666666666666,-31800046404.761604
1.2727272727272727,-30854535224.02408
1.2787878787878788,-31196298864.1205
1.284848484848485,-31319972412.255684
1.2909090909090908,-31018211121.207195
1.2969696969696969,-30981176267.734715
1.303030303030303,-31103146479.508324
1.309090909090909,-30615881672.5415
1.3151515151515152,-29938088047.585793
1.3212121212121213,-30294390146.26777
1.3272727272727272,-30164603647.26719
1.3333333333333333,-31007983486.294136
1.3393939393939394,-31357704418.60228
1.3454545454545455,-31949567279.74499
1.3515151515151516,-32136069569.410088
1.3575757575757574,-32400826409.93806
1.3636363636363635,-32365467723.82599
1.3696969696969696,-32620645864.113853
1.3757575757575757,-33128591400.512238
1.3818181818181818,-33702215620.851513
1.387878787878788,-32915518918.210922
1.393939393939394,-33286794818.59272
1.4,-32988486075.64695
1.406060606060606,-32891521960.91835
1.412121212121212,-34485566962.86044
1.4181818181818182,-35247655817.03681
1.4242424242424243,-35860476083.69606
1.4303030303030302,-35014631229.601135
1.4363636363636363,-34821710897.99165
1.4424242424242424,-34232886880.36887
1.4484848484848485,-32805645488.61171
1.4545454545454546,-31658665309.759163
1.4606060606060605,-31483980503.602123
1.4666666666666668,-30458469771.40166
1.4727272727272727,-26385283976.605938
1.4787878787878788,-22144609427.813896
1.4848484848484849,-16232382478.273228
1.490909090909091,-10739754941.956635
1.496969696969697,-3666296941.2881126
1.503030303030303,-790789076.1945848
1.509090909090909,1057895076.3213259
1.5151515151515151,1901410942.4560826
1.5212121212121212,2741998275.8168025
1.5272727272727273,4009410557.770241
1.5333333333333332,5241560364.624851
1.5393939393939395,7491791125.849418
1.5454545454545454,8108510459.976824
1.5515151515151515,9248519744.425852
1.5575757575757576,9482871229.633236
1.5636363636363637,9645931480.88689
1.5696969696969698,8901123393.37045
1.5757575757575757,7919064665.985756
1.5818181818181818,7609029151.429462
1.587878787878788,7540603133.049903
1.593939393939394,7513876455.804769
1.6,6912166702.858864
1.606060606060606,7357064226.708262
1.612121212121212,6915489436.698731
1.6181818181818182,6472318239.227172
1.6242424242424243,5716911688.744595
1.6303030303030304,5535923469.773175
1.6363636363636362,5728484723.091859
1.6424242424242426,5612545938.587728
1.6484848484848484,5140944230.63228
1.6545454545454545,5034303235.393795
1.6606060606060606,5115053636.91679
1.6666666666666667,4817497893.573846
1.6727272727272728,4856524656.956713
1.6787878787878787,4532959863.14374
1.6848484848484848,4696782405.739176
1.690909090909091,4162617607.329262
1.696969696969697,4206482612.3492985
1.7030303030303031,3937568982.2356067
1.709090909090909,3448438511.47584
1.7151515151515153,3024062655.320059
1.7212121212121212,2379585681.134685
1.7272727272727273,2461427229.590214
1.7333333333333334,2763167031.815593
1.7393939393939393,2460588559.1325502
1.7454545454545456,2518208505.652767
1.7515151515151515,2403294710.03795
1.7575757575757576,2010576009.43803
1.7636363636363637,1858923086.6292882
1.7696969696969698,1547422907.1444983
1.7757575757575759,1182904951.1428654
1.7818181818181817,1268509632.606635
1.787878787878788,947641703.4725237
1.793939393939394,388196776.9472194
1.8,-85373303.41563702
