反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,-183409913.0,-1893730757.0,884311.5
1,-182107827.7114154,-1893881431.3943963,884311.5
2,-180805748.3799947,-1894030391.2956305,884311.5
3,-179503674.98739496,-1894177649.2389278,884311.5
4,-178201607.51531523,-1894323217.667892,884311.5
5,-187132748.0198443,-1897317204.2041383,882978.0
6,-186521364.57638633,-1894629496.9534187,885396.5
7,-189220519.3166979,-1884427808.6200085,887483.0
8,-184797647.5355776,-1874635498.1336389,892471.0
9,-177449073.26463804,-1869174812.7605715,891193.5
10,-177899719.77165416,-1872380938.1370025,891754.5
11,-172539438.56499478,-1872350642.9574623,889847.0
12,-170607728.7444429,-1872801164.5674124,887469.0
13,-161819036.3867901,-1875774011.6799374,890541.0
14,-166340904.184975,-1895331540.884663,888492.5
15,-162757030.9291341,-1896448395.4727297,886754.5
16,-157603010.17503443,-1902337121.3130617,885803.0
17,-151911897.41494113,-1880471337.8335662,886275.0
18,-171410515.16365087,-1867927405.7575564,889279.5
19,-166875845.03470147,-1909009233.6175857,889930.5
20,-166506128.48072302,-1891110658.390257,889977.0
21,-164501153.7093183,-1887363399.1030369,890624.5
22,-164633971.43450096,-1874674919.5455036,891464.5
23,-163554677.98585117,-1901675571.6630318,890963.0
24,-155391868.39043978,-1894110469.8820038,889512.0
25,-165856544.20572892,-1900876108.9531217,888208.5
26,-161580860.37383628,-1920647177.9466763,889136.5
27,-160057296.05193847,-1929448619.823533,887274.5
28,-152586076.2880675,-1934045398.110827,889843.5
29,-150654195.27223107,-1931720907.4382734,890812.0
30,-152806012.23125842,-1905036261.7219641,889837.0
31,-146284503.69497424,-1899022166.142201,890097.0
32,-140867902.72611916,-1897428962.4264164,891726.0
33,-134348219.9293403,-1883703949.4803689,890696.0
34,-142946128.68014312,-1868794432.3290768,891165.0
35,-140047312.8788333,-1829287774.9881923,892522.5
36,-135083415.26521045,-1833314450.6174572,894038.0
37,-130630140.76169845,-1841927221.2085242,895249.5
38,-129087963.89984553,-1849139098.638116,893675.5
39,-125616210.55826338,-1852109470.1636713,891349.5
40,-109513708.08830777,-1845200248.0967124,892724.0
41,-116502193.23308256,-1862227053.610613,892022.0
42,-117511366.21713729,-1841875556.3554761,892635.0
43,-111821345.40356392,-1842526420.6898355,895577.5
44,-103674666.74525464,-1846980734.8610148,894263.0
45,-98865682.20705299,-1813475814.1191425,894884.0
46,-104558274.40349327,-1823288653.722021,894065.5
47,-107123974.75448674,-1809235015.2886868,895248.5
48,-104909727.95241295,-1818110956.155023,896647.5
49,-101209351.80782638,-1803749868.4839294,896342.5
50,-101169155.88652235,-1801767269.1650548,893117.5
51,-105467596.03424606,-1784612671.0129733,891830.5
52,-98660001.29459384,-1756722239.8163533,894878.5
53,-100868400.49483842,-1734660167.9585285,895842.5
54,-99007522.70477417,-1714610171.9700732,893188.0
55,-91816174.76180768,-1730550215.007391,893854.0
56,-87110905.8497889,-1724439608.6478407,891933.0
57,-82075081.16343963,-1718391093.514642,894406.0
58,-83241638.004967,-1718346380.5309255,895316.5
59,-83617399.92780676,-1714269419.1674254,893447.0
60,-83754756.42213404,-1723424685.7458937,893519.5
61,-77256006.59346968,-1710731620.7248054,895143.0
62,-66464130.689863205,-1711183338.5142026,895276.5
63,-76507658.47547293,-1716672327.052865,894630.5
64,-77770500.53749976,-1702050021.4886384,894474.0
65,-72281719.70660308,-1683782476.8999586,895390.5
66,-76475793.49721801,-1686863497.0735466,895392.5
67,-73626647.48674929,-1671037363.9820936,896163.0
68,-71669726.70160934,-1655679669.6321213,896991.5
69,-60840896.957007825,-1656879456.6665292,897858.5
70,-64144022.73089641,-1662133166.3743901,895607.0
71,-68423422.56582153,-1663853253.1223862,895145.5
72,-60606141.65289235,-1671930832.2530165,894842.5
73,-61512695.325407684,-1688484841.7648304,895955.0
74,-48897228.199261844,-1702956129.694221,898216.0
75,-39100113.93860614,-1704972845.478008,898254.0
76,-38189430.457267225,-1697358512.5473967,899159.0
77,-37613355.409228444,-1694126236.9064202,896833.5
78,-43112150.78026748,-1691806247.7886913,895768.5
79,-47071467.04746753,-1664324244.4362183,897365.5
80,-45340468.24137801,-1659970417.7747164,899000.5
81,-43355027.754095435,-1664784270.9895558,898032.5
82,-44529155.8896454,-1671981843.0888882,896530.5
83,-44728221.06458306,-1679691117.1213965,895703.5
84,-44020065.77409226,-1671378879.1735902,894732.5
85,-46638121.591451526,-1657918062.1135323,893329.5
86,-46623373.67306912,-1651194639.8318715,891152.0
87,-49701258.63060677,-1652760181.8132932,889328.0
88,-59565458.39679283,-1661057873.4914603,890468.5
89,-52662273.77752918,-1677977973.917826,890494.0
90,-55186412.53782922,-1676692966.3630064,889989.0
91,-47794651.593539774,-1679221701.9176586,890848.0
92,-37974758.95789498,-1658363929.0740519,894209.0
93,-39392721.209597826,-1642812997.1442418,895733.0
94,-41427374.792306006,-1646769341.1209524,896345.0
95,-45802265.60430658,-1641822094.1774457,897404.5
96,-49813459.98183131,-1640794441.49616,893449.0
97,-38620826.38060373,-1644912815.0315087,891603.5
98,-36608900.4241063,-1646723161.936697,890322.5
99,-46423019.02955043,-1653546287.9638414,887986.0
100,-44660185.58165735,-1653205065.3370051,887097.5
101,-35933819.7884807,-1656789518.474929,887923.0
102,-27192642.69526148,-1674293582.0936532,891743.0
103,-28681212.70053655,-1689590910.5114026,891953.5
104,-24887834.01563418,-1687577203.7239232,892121.5
105,-24259690.924978256,-1686951438.0069795,892322.0
106,-29317363.264203966,-1687579581.1891906,892018.5
107,-31368575.875624716,-1688493765.064966,892248.0
108,-38023389.57386613,-1686517895.556332,892067.0
109,-30920972.66359526,-1704869624.7406032,893123.0
110,-24237092.41342807,-1692144936.7067418,895204.5
111,-18089570.891613483,-1709171202.284136,895612.5
112,-14844519.467010438,-1725665117.1217594,895686.0
113,-13976354.305328906,-1714048126.790457,896594.5
114,-5432596.667626739,-1711042294.4634218,894751.0
115,-8965556.354754627,-1709677688.773055,892684.0
116,-12137784.984836102,-1716679084.547886,891785.5
117,-14196616.75265646,-1713069845.3379676,891710.0
118,-14783640.10008043,-1710529015.5418255,889626.0
119,-10916944.555785537,-1711131288.4289129,890820.0
120,-7993997.442819595,-1712807499.9240391,888216.0
121,-20727437.35224533,-1718638076.0872533,889654.0
122,-24194866.047743917,-1699690693.31032,890348.0
123,-24362865.611563444,-1693763560.0514565,887995.0
124,-18501021.37436521,-1685440978.7214274,888721.5
125,-16875800.87995845,-1672062993.0242846,889603.0
126,-28186736.548568547,-1693353782.8853447,889396.5
127,-34546959.73088318,-1681453279.6997197,886717.0
128,-34065158.93024391,-1679249654.8962827,886200.0
129,-25762922.465181172,-1680285048.3683958,887467.0
130,-26143157.888454318,-1688126924.1107461,886870.5
131,-28986408.61796677,-1700250183.737293,883879.0
132,-30431975.307096183,-1698527875.3624694,883737.0
133,-34077026.664716184,-1685781028.4273639,883131.0
134,-27759868.92373371,-1697986410.9860084,884264.5
135,-23620369.163420618,-1686414830.232616,885122.5
136,-26538681.063298702,-1672677450.4545598,886482.0
137,-15942484.732684791,-1668958830.2997146,885042.5
138,-15728822.387261748,-1667769503.6992552,883106.5
139,-18011170.119541526,-1668739701.2480733,883149.5
140,-21046535.279237628,-1674456953.078854,884657.0
141,-24475825.70714408,-1663526225.623159,886912.5
142,-26718570.11717403,-1655613695.973552,888582.5
143,-22863036.405115426,-1664241531.3588686,886282.5
144,-17755304.802834034,-1663431753.0380113,885117.5
145,-14957725.733351588,-1648241978.1983895,887034.5
146,-22954709.779245198,-1647301760.649041,885549.5
147,-16211292.24181062,-1649675684.181552,886349.5
148,-8466767.04718244,-1640086422.3911068,887907.5
149,-4402245.052524567,-1638336847.0691175,889052.5
150,-6069739.3067573905,-1634047336.1446514,889554.5
151,1735261.5649271011,-1639477933.1623974,889033.5
152,4830437.334597886,-1632731278.4997258,892954.0
153,19313061.00688249,-1642389851.7633133,893819.5
154,17238207.24761814,-1657626714.10607,893727.5
155,22505471.061632037,-1664684866.1175957,894201.0
156,38665483.637691975,-1687772347.9192443,893462.5
157,47594721.65684354,-1700624820.0995808,894055.5
158,55027282.72261822,-1709235243.1997957,893442.5
159,59095732.611831486,-1714600430.5858765,894865.0
160,60397047.49956995,-1696804140.3962092,893646.0
161,45669763.551036775,-1705172532.3789778,895309.5
162,59668353.1979906,-1730651561.9520953,897433.5
163,71380219.89838243,-1729076639.6149368,897324.0
164,64267380.700837135,-1724544320.4542408,898503.5
165,63812151.971965075,-1731131450.5658295,896896.0
166,76525498.14258736,-1721348464.4850407,897481.5
167,84261693.63175738,-1751239017.4766152,895601.5
168,85258680.6394031,-1781988982.293699,893776.0
169,97846768.98225558,-1790990399.617773,893368.5
170,104888962.48688522,-1796433629.079905,892766.5
171,114572279.21982932,-1790027117.165325,894380.5
172,116115063.89073318,-1794911925.613766,895642.0
173,114707589.64881605,-1788029330.8582973,895718.0
174,115164040.18899,-1794410507.1213496,895958.5
175,109418776.49295145,-1801234618.061502,894269.5
176,119782165.55691487,-1822563633.0538285,896173.0
177,122908753.29189116,-1815003231.8481212,896266.5
178,116998726.95870572,-1813363597.363032,897283.5
179,117638842.34542787,-1821832011.2708206,899365.0
180,116059463.35840744,-1820274004.9898963,899097.0
181,105720104.6104632,-1808693689.2378006,899152.5
182,97608083.88425875,-1824217831.2309358,899285.5
183,106942641.57929438,-1829230151.4924126,899269.0
184,111230396.62011075,-1841138683.042629,899720.0
185,110853938.0261687,-1833548314.0748928,899415.0
186,106944959.78578907,-1825792382.6613631,898968.0
187,95252577.60755146,-1818135893.237493,899016.5
188,96666627.36529952,-1812548884.7826374,901952.0
189,97394927.71327329,-1800659054.0691707,904854.5
190,95585009.53335714,-1796291623.9507997,906895.0
191,90135399.22457796,-1800322736.4119825,906310.0
192,82262005.29835641,-1798107799.3358977,907623.0
193,73068561.15527683,-1786266297.8052828,906455.0
194,68513973.06471062,-1788416817.5494978,904457.5
195,68112301.20079559,-1788321519.27643,902479.0
196,75660836.0623172,-1801768564.5141444,901032.0
197,64757429.66483784,-1791871709.4548845,898634.0
198,80115231.78248405,-1795638896.1832476,898083.0
199,71783605.95179754,-1808547880.6552112,898603.0
200,80694170.69905347,-1810314327.7225797,897164.0
201,75405393.61056739,-1817385443.9880147,896349.5
202,60104071.65932286,-1809664667.090224,895995.0
203,58082550.326559424,-1803128278.807921,897213.5
204,45342417.53550613,-1813456307.3453283,899573.5
205,54036441.36478448,-1812031866.8209136,900284.0
206,49198569.05827367,-1805010183.9467468,899812.5
207,48217491.99219048,-1785731744.2900975,899489.5
208,48160725.78031874,-1789366853.63064,900831.0
209,55327456.18455303,-1771426509.2953079,902003.0
210,51289473.31210464,-1765008692.4060347,901770.0
211,56894615.58484101,-1789878106.864405,904206.5
212,45624089.17813206,-1788685298.0392694,905982.5
213,59181901.484796524,-1812706574.2533164,907031.0
214,49473954.32314181,-1805421882.4618962,907551.5
215,51778322.09175807,-1795309010.882817,906240.5
216,40770419.54804182,-1784179626.6415892,906048.5
217,60090381.872133315,-1768991538.2062004,907551.0
218,59944152.62551683,-1773665896.1944854,907684.5
219,60715396.96782297,-1776229397.8736002,907584.0
220,58086733.01881182,-1780510074.530853,907618.5
221,52675997.35765779,-1777949664.5854373,904659.0
222,50988486.30987048,-1766551569.1128314,900992.0
223,45375787.032913566,-1767047722.0890405,899711.5
224,42105251.63025206,-1756034546.275742,900041.5
225,29678136.96027875,-1745616702.9586987,901329.5
226,26236078.882708907,-1755485166.5946562,901729.0
227,40705869.91424596,-1728532643.3471053,903448.0
228,41619164.47973168,-1720595403.0431488,904679.5
229,39668042.79184002,-1712712801.8660712,905820.0
230,34401749.3947165,-1697341906.588667,905691.5
231,44391569.36401057,-1696841025.1908937,906409.5
232,45153965.51327473,-1705311932.8760617,906327.0
233,25721151.55133921,-1698555560.9028976,903712.5
234,24951232.946480095,-1698278715.6146958,900583.0
235,21790075.420003176,-1686619301.0331926,899816.5
236,25319427.174507916,-1696479557.5506425,898353.5
237,24982674.40972513,-1684974468.5518377,897027.5
238,6462661.144230902,-1675947509.4672298,896878.5
239,951319.9187318087,-1684338903.7426445,897223.5
240,1791228.6246160865,-1684334550.4317918,895981.5
241,4998894.866017103,-1699250705.2821965,893074.0
242,17961816.633145273,-1701571726.1454906,890748.0
243,13272845.240361273,-1718575542.3444467,893911.5
244,40634194.1002416,-1720696815.1515603,893908.0
245,31870245.304486394,-1720984616.3000438,894783.5
246,28138444.80874425,-1708635371.1896942,894434.0
247,33188867.054225445,-1707020519.9665966,891569.5
248,40617010.4177407,-1705590906.8062842,892072.5
249,48611608.546601,-1718352507.7963645,890972.0
250,54233135.00715262,-1711733489.5837219,891172.0
251,54162018.77564067,-1711427083.513968,892462.0
252,49647313.48510504,-1715443687.6634328,892891.5
253,53106175.9665612,-1718359527.9467907,893527.5
254,50117017.90525517,-1730659428.5674877,894273.5
255,42043448.56529343,-1709654722.991693,892618.0
256,30440121.750394434,-1727382771.979778,889644.5
257,25794922.562470347,-1725517841.8308606,889862.5
258,24889564.07923788,-1734025605.979566,889395.0
259,36194526.27489889,-1746148575.427939,891382.0
260,43028552.38807812,-1743752898.4153564,890521.0
261,40751712.40522891,-1752055579.7988849,890112.5
262,47062886.47474828,-1759261043.6344943,893018.5
263,36850594.81994206,-1771349594.334322,891958.5
264,47697935.58850229,-1771121210.421128,895031.5
265,40756954.82872146,-1781207141.9826872,894534.5
266,34957531.58828336,-1778768251.8284686,894150.5
267,32474478.30736527,-1803489701.2829604,892156.5
268,40675763.041292965,-1825778979.303175,892490.0
269,37889557.046295196,-1823267607.5140188,891788.0
270,41243816.81679198,-1825667699.0333827,891153.5
271,44761124.13906154,-1836783917.232915,890148.5
272,34098599.51096797,-1853464985.226498,889098.0
273,45049297.66650003,-1871041561.8632565,888894.0
274,24525352.88906026,-1869506728.9208214,887534.0
275,27057746.73170954,-1889154849.1689444,887276.0
276,32646639.976078868,-1903216037.1074724,886930.5
277,36383550.28470665,-1923901851.6173224,885596.5
278,37449908.7789329,-1931540348.7423935,883113.5
279,52011750.792552084,-1940246834.9249308,883533.0
280,64787420.23958862,-1963981368.636134,884639.5
281,68273497.127756,-1983874453.5923984,885616.5
282,78545483.78176928,-1999495029.0332458,886645.5
283,77719999.86552405,-2017014119.475803,886075.5
284,71542542.77573505,-2024522440.4873781,886551.5
285,72338268.10986832,-2047840423.3740795,886446.0
286,68638850.57087803,-2042058229.9606729,884732.0
287,83262379.22354317,-2057590874.4870992,883641.5
288,93829337.34290016,-2059855182.4989467,880664.5
289,105976867.93433416,-2061872736.007689,882088.0
290,109145798.5721609,-2077342132.5069928,882954.5
291,111707693.79976404,-2077004999.5475688,883232.5
292,112022675.18998373,-2078355040.1142495,884770.0
293,130648096.3121261,-2089965229.4657655,883468.0
294,122116769.87437099,-2104024772.0353656,882464.5
295,136195928.57064188,-2100643886.4984064,879466.0
296,140354027.77031243,-2101338294.269755,879457.0
297,139390372.7444321,-2102656204.5663729,877485.5
298,158667023.41787708,-2109925837.5473828,875390.0
