反復回数,回転角度θ（deg）,スケールs
0,0.04727081199850865,1.001431772083435
1,0.09440643941218026,1.0028642243561672
2,0.1414073975100968,1.004297353902141
3,0.18827419934960157,1.0057311578205725
4,0.23500735578479828,1.007165633225862
5,0.2834346219455774,1.0086015444397025
6,0.3317630588893351,1.0100404420350768
7,0.38132815882314935,1.011465091538222
8,0.42952790728961177,1.0128875501926569
9,0.4763003370501548,1.0143057882144881
10,0.5240572957121201,1.0157293080016212
11,0.5706487932735851,1.0171529087995321
12,0.6167859941790693,1.0185729593697066
13,0.6605785446942574,1.0199860290759377
14,0.7056042992962208,1.0214151069953712
15,0.7500867714806997,1.0228432339447218
16,0.794690888891785,1.0242866971833677
17,0.837716548285137,1.025714758790718
18,0.884290401215857,1.02713586884086
19,0.9307222360771173,1.028588001319042
20,0.977106385702218,1.030028161683435
21,1.0232789553370538,1.031464003557549
22,1.069513555502482,1.0328891415020338
23,1.116128252769499,1.0343394896722082
24,1.1607635010316966,1.035784761496022
25,1.2080062458237117,1.037236372536383
26,1.2550880990885855,1.0387045985077814
27,1.3024570393224846,1.0401871015880197
28,1.348128393078626,1.041672344409552
29,1.3934673685466645,1.0431581778060104
30,1.4390457084098425,1.0446216562338069
31,1.4835395046565933,1.0460797210289623
32,1.5275832143478374,1.0475355262224861
33,1.5706035502690179,1.0489823374793104
34,1.6153365209933406,1.0504152056744196
35,1.6595308617173687,1.0518166216083562
36,1.7026169466845569,1.053218888487332
37,1.7461247070086807,1.0546347758668835
38,1.7896456489443282,1.0560565712054601
39,1.8318476657831717,1.0574814514041615
40,1.870233304423685,1.0589008470998877
41,1.9096476788767247,1.06033030807771
42,1.949294198122221,1.0617417002575604
43,1.9881508640333123,1.0631486906544145
44,2.025748023979002,1.0645515093836564
45,2.0623457918000767,1.0659285613225091
46,2.1004576621088455,1.0673113865747925
47,2.139078740051174,1.0686831558570606
48,2.177616232737914,1.0700609768893354
49,2.2161014007938564,1.071434242514423
50,2.254905863924382,1.0728055371592042
51,2.2947274928565626,1.0741644456206307
52,2.3330870208637777,1.0755053920740911
53,2.371935755393618,1.0768334921049385
54,2.4099057404019644,1.0781400492176518
55,2.44629038075916,1.0794505365442528
56,2.481663348014446,1.080750232115779
57,2.5161418553886525,1.082040110274487
58,2.550995275704059,1.083326593464328
59,2.586198660354827,1.084609968640489
60,2.6219803624416764,1.0859016991453683
61,2.6568262907434392,1.0871890332207186
62,2.6894755447404473,1.0884767450938284
63,2.7240743457027206,1.08976904661476
64,2.7586183905851747,1.0910510350554332
65,2.791845218306525,1.0923184427504382
66,2.825773367434876,1.0935861094833488
67,2.859297419551511,1.0948402599453353
68,2.892335097863525,1.0960792643828516
69,2.923351749836317,1.0973139835442232
70,2.955404691845858,1.0985528386968577
71,2.988808391325748,1.0997956300371232
72,3.0212358134160633,1.101045834232425
73,3.0542230335413527,1.102306935593522
74,3.0851662065414915,1.1035800323779723
75,3.1145011981513866,1.1048590192840644
76,3.1436245845598907,1.1061334893137982
77,3.172711395084058,1.1074043327867455
78,3.203043254636457,1.108671981358299
79,3.2338764860737346,1.1099192803229234
80,3.264298492535564,1.1111617078575864
81,3.294319095029335,1.112406867572511
82,3.3246566980209304,1.1136575314866428
83,3.3553295885147914,1.1149149963858893
84,3.385916506622476,1.1161668904975157
85,3.41727030795865,1.1174124130986498
86,3.44882699703385,1.1186532682780699
87,3.481280889200569,1.1198963067269425
