反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,436568557.2817511,-472912979.0995184,771782.0
1,442779884.59461075,-472612909.09221584,771666.0
2,449542706.2940608,-470982744.16244364,772806.0
3,450288847.74201334,-470583687.10627085,773924.0
4,452414904.4002143,-468962158.468283,774177.0
5,451193047.1327786,-467533474.37641096,774772.0
6,456596911.8199521,-477214276.25587803,775335.0
7,458415532.4992301,-478231780.0964109,776079.5
8,454877538.9164897,-478321167.70174694,777193.0
9,451891943.1584181,-479655437.8820144,776988.0
10,456166740.89274025,-481584026.1531345,776268.5
11,459614484.8297254,-482144762.83823115,776360.5
12,462110266.2083321,-491000882.2218687,775857.0
13,460685597.3650786,-492827053.64729494,776124.0
14,460915421.696758,-493551123.5272178,775870.5
15,456906022.3623763,-492243230.0971947,776281.0
16,454960758.47812,-490555402.97138584,775052.5
17,450947585.66045064,-490201935.47843003,774204.5
18,469881962.56736326,-505005824.5441395,773807.0
19,473011729.220949,-505843895.5721007,775072.0
20,457099208.30982435,-498558074.1414315,775976.5
21,457135945.30473876,-502773284.5522919,776571.5
22,469655594.4653055,-516760664.22362196,776333.0
23,473249714.67166847,-517685060.87405705,776620.0
24,470703304.1273138,-518114285.8313623,777073.5
25,476054293.9636913,-519303995.24559057,777788.5
26,474390613.8017912,-518864938.20173156,777647.0
27,452821158.8991955,-508932761.5374196,778320.0
28,452539292.9928426,-513028184.06486803,778844.5
29,443160060.8796439,-505784443.28297013,779171.0
30,434040102.2294422,-507607837.9904881,780120.0
31,433941152.9358696,-510723952.7584809,779564.0
32,440900322.2349633,-512638147.93418103,779469.5
33,448578777.8341929,-523753030.584444,779326.5
34,445172765.7245836,-523118378.37991107,780028.0
35,442018397.5500003,-527337831.90181625,779782.0
36,445508946.8234195,-525977783.82033634,779406.0
37,447668090.6073173,-527139112.1095896,779244.5
38,451541843.1727663,-528344877.77993125,778967.0
39,455878144.2647689,-523950421.21797097,778918.0
40,455687645.0040712,-523326027.5803736,779085.5
41,455910048.98028,-518177063.2047169,780226.5
42,464594521.26344675,-516716051.25288785,779871.0
43,470432274.4105083,-518931521.7915562,780206.0
44,464696028.9361694,-523132977.9519351,780986.5
45,466595913.50397444,-523907384.89680207,780849.0
46,464248005.1854801,-523014323.4370688,781206.5
47,472160055.5881415,-522962893.4626378,781599.0
48,476085308.5625152,-535706456.14315975,781481.5
49,474446929.5478709,-533775736.0672572,781541.5
50,472101441.98710674,-531635206.1698357,781312.5
51,476528727.0715547,-536817571.4673755,782171.5
52,483128157.85891193,-537271124.2844735,783279.5
53,489797963.735903,-538298581.3379562,784174.0
54,481380568.7865562,-536367141.9718017,784343.0
55,485850263.75064915,-535315029.74226636,784718.0
56,495805735.468241,-534407710.3793897,784255.5
57,500337746.9050787,-537119653.5400246,784658.5
58,500386076.11550725,-536370500.80676496,784232.5
59,499706464.47522306,-537630882.1524875,784220.5
60,504739628.3177941,-540438779.3724115,784173.0
61,502342401.01520616,-539254844.2402861,784038.0
62,506374807.21111125,-540899584.7058358,783430.5
63,502110771.7082934,-545402818.8557875,784630.5
64,502885801.8364498,-542596594.4762849,785201.5
65,502348254.89418036,-543593977.4703357,785710.0
66,503652839.3044121,-546196776.5908902,785219.0
67,503034800.3796172,-549524324.4331887,784967.5
68,508635727.53669715,-554515387.1062381,783634.5
69,521244097.7837211,-553786588.0126708,784531.0
70,525234353.24844307,-557994671.2650268,783842.5
71,519463843.2591019,-559140561.158442,784870.0
72,524494427.7254722,-556221600.5786916,785393.5
73,516570715.02737755,-547205951.4551123,787218.5
74,515626633.38558435,-547594895.7700913,787441.0
75,518880712.1632343,-550678594.1617961,786956.0
76,513312245.26811206,-552782514.761005,788445.5
77,518011442.4319074,-554469832.0845624,788143.0
78,539090069.8311176,-564583437.1680005,788445.0
79,544074045.76013,-561074666.8418785,787709.0
80,550528947.6742611,-557356704.5847462,788759.5
81,541294824.9445484,-555952308.556957,789913.0
