反復回数,回転角度θ（deg）,スケールs
0,30.003372198281514,2.000595392842647
1,30.006137633426665,2.001179872642449
2,30.00812302011128,2.0017484444192024
3,30.010013710683772,2.0023149535235083
4,30.01155972269606,2.002873712616063
5,30.01310177689414,2.003430876857915
6,30.015061772059703,2.0040065295700344
7,30.016955831989936,2.004582226837224
8,30.019185408784452,2.005164234647581
9,30.02182419679541,2.005754981491938
10,30.024256201616137,2.0063443123186735
11,30.02645849463158,2.006930066942929
12,30.029273276500792,2.0075373593068635
13,30.03241952278132,2.0081526251872455
14,30.03562638582905,2.0087706029259627
15,30.03912523926034,2.009392184202577
16,30.042611880747213,2.010011460078088
17,30.04643941506005,2.010636198528366
18,30.049903506310514,2.011271565338995
19,30.053172844144452,2.011904678715377
20,30.057309696734027,2.0125449369320823
21,30.06182833277149,2.0131965876365263
22,30.066512157969917,2.0138670670213488
23,30.07095045218888,2.014533997698793
24,30.07568561632836,2.015207047034697
25,30.08003974904958,2.0158747839498696
26,30.08456462973204,2.0165450515706786
27,30.090152158305948,2.017222524750746
28,30.096157274548794,2.0179124762340255
29,30.102368130555153,2.0185980286865686
30,30.10963499728919,2.0193043379746705
31,30.11719682558922,2.020020225501476
32,30.12431285883776,2.0207307014909706
33,30.131768869689317,2.0214598264285697
34,30.139506397292934,2.0221934516250273
35,30.147906900402553,2.0229437337322365
36,30.155908103083238,2.0236862452071103
37,30.16381456784416,2.0244283991145102
38,30.171545096545174,2.0251692408036575
39,30.17850805182239,2.025891552938857
40,30.185506702121607,2.02661458157589
41,30.192018531675142,2.027323156885067
42,30.197675820842516,2.02801488135851
43,30.203013540214613,2.028703658171726
44,30.20928011639129,2.029413630297093
45,30.215467439091913,2.0301232441236747
46,30.221817490010203,2.0308346223706395
47,30.22746373894113,2.031533230930848
48,30.23396967326385,2.0322619927322596
49,30.240410374114806,2.0329872364693653
50,30.246857868728473,2.0337100744250285
51,30.253421962204076,2.034441015145529
52,30.25948935554612,2.035164588877736
53,30.265066594023853,2.0358811291143746
54,30.271211648131676,2.0366057870318617
55,30.276847432077062,2.0373197942077765
56,30.281505311134303,2.0380159047150284
57,30.286065961232165,2.038713121955597
58,30.290556539331362,2.039408149730297
59,30.29525256132676,2.0401086292808026
60,30.29975186742008,2.040809076426962
61,30.30437968742928,2.0415109472497446
62,30.3088081696183,2.0422117973665017
63,30.31404211723676,2.042932416392732
64,30.318983692578545,2.0436448287541795
65,30.324137458499234,2.044362560704542
66,30.329427615617345,2.0450856352519287
67,30.33510474445841,2.045819735511915
68,30.3407241979618,2.0465588608242578
69,30.345192256741203,2.04727648958374
70,30.349743948298563,2.048000173543572
71,30.354986807628475,2.048737820891719
72,30.359592277852034,2.0494612386307014
73,30.364075448287142,2.050172293312247
74,30.36870976844371,2.0508865690858924
75,30.37337649671789,2.0516054721032293
76,30.378771177031176,2.052340177481376
77,30.38388252293232,2.053071523211673
78,30.388074284251054,2.053797882987403
79,30.391516626946824,2.054506673405809
80,30.394094818590162,2.0551957254615174
81,30.39738168830001,2.055895555846798
82,30.400968098852292,2.056602288747765
83,30.40421583235784,2.057298246582475
84,30.407330795786066,2.05799316438564
85,30.410717797316817,2.05869193003207
86,30.414335585062137,2.059393899499607
87,30.41778324125754,2.0600958229871615
88,30.421041396727038,2.060792513435645
89,30.424109963220552,2.061489358494774
90,30.427727007869645,2.062199478237809
91,30.430731240854747,2.0628926578594293
92,30.43363738041062,2.0635796345097837
93,30.436492606838325,2.064266639616387
