回転角度θ（度）,∂J/∂θ
20.0,-430619403.1665559
20.2020202020202,-435012350.1909641
20.404040404040405,-429620823.26179266
20.606060606060606,-417872053.75782263
20.80808080808081,-428570431.808135
21.01010101010101,-438157973.6786351
21.21212121212121,-428242422.66286033
21.414141414141415,-446015560.7920587
21.616161616161616,-441833835.92612165
21.818181818181817,-441810828.0228052
22.02020202020202,-413979013.8167836
22.22222222222222,-390263978.4819734
22.424242424242426,-354312019.4102924
22.626262626262626,-363769160.7126569
22.828282828282827,-381305705.6401243
23.03030303030303,-352709857.3021041
23.232323232323232,-393812603.18667245
23.434343434343432,-394085652.5820294
23.636363636363637,-402095708.637471
23.838383838383837,-433460083.7324966
24.04040404040404,-416400776.9599848
24.242424242424242,-439674483.23887193
24.444444444444443,-470388503.4979485
24.646464646464647,-480907253.5158755
24.848484848484848,-447879871.1209319
25.050505050505052,-490198060.14021
25.252525252525253,-494612782.7166442
25.454545454545453,-500692448.52477896
25.656565656565657,-486642328.1538832
25.858585858585858,-498516323.24757886
26.060606060606062,-524715458.39576006
26.262626262626263,-498386839.8976329
26.464646464646464,-552967219.5427632
26.666666666666668,-602372220.0882592
26.86868686868687,-643638942.8055655
27.070707070707073,-635446349.4430014
27.272727272727273,-639873335.7930562
27.474747474747474,-696874304.9838632
27.676767676767675,-731721427.6369164
27.87878787878788,-802665412.6774759
28.080808080808083,-880804281.0454357
28.282828282828284,-926690867.6184356
28.484848484848484,-947074044.4267797
28.686868686868685,-953945042.37432
28.88888888888889,-867439885.0752656
29.09090909090909,-882829904.3177569
29.292929292929294,-688042526.5773872
29.494949494949495,-551697421.4316311
29.696969696969695,-366464851.4909475
29.8989898989899,-81660274.00216994
30.1010101010101,236084933.34730765
30.303030303030305,873020117.2845954
30.505050505050505,1357252791.4626896
30.707070707070706,1830906002.8734355
30.909090909090907,2236372856.8210516
31.11111111111111,2473076528.660772
31.313131313131315,2616189183.1924663
31.515151515151516,2707096209.5770445
31.717171717171716,2758520036.8296285
31.919191919191917,2726095011.119111
32.121212121212125,2759838460.4587708
32.323232323232325,2740156682.511532
32.525252525252526,2727583561.058573
32.72727272727273,2730510862.954763
32.92929292929293,2713545583.8556843
33.131313131313135,2691204848.2558513
33.333333333333336,2648047093.265088
33.535353535353536,2622163751.9729624
33.73737373737374,2588308516.5161495
33.93939393939394,2565867394.5901904
34.141414141414145,2507641020.0355096
34.34343434343434,2455255036.993386
34.54545454545455,2442356329.8066354
34.74747474747475,2458008786.148629
34.94949494949495,2445063466.023096
35.15151515151515,2482530255.8628035
35.35353535353535,2458203448.6226497
35.55555555555556,2448203336.991606
35.75757575757576,2450246285.996653
35.95959595959596,2448265505.6099095
36.161616161616166,2385466696.7161417
36.36363636363636,2383730397.297655
36.56565656565657,2410207108.0799155
36.76767676767677,2413303128.2671356
36.96969696969697,2396113356.019346
37.17171717171718,2365998317.9357843
37.37373737373737,2337011867.4200354
37.57575757575758,2351332291.05075
37.77777777777778,2344932222.989509
37.97979797979798,2332309381.454659
38.18181818181818,2325682016.723178
38.38383838383838,2365947763.252999
38.58585858585859,2358403831.0712233
38.78787878787879,2367990326.5747843
38.98989898989899,2368749319.802411
39.19191919191919,2382900750.847951
39.39393939393939,2382359198.085639
39.5959595959596,2395720200.7238984
39.7979797979798,2396827921.0067906
40.0,2399861761.2223
