反復回数,回転角度θ（度）,スケールs,目的関数値J,勾配ノルム,∂J/∂θ,∂J/∂s
0,0.05811261961258681,1.0015504412517169,884479.0,2054903201.5546527,-231616928.0,-2041808210.0
1,0.11604528794842062,1.0031019104221228,884479.0,2054942988.0178854,-229901789.2917346,-2042042078.7251995
2,0.17379872111345526,1.0046544027395548,884479.0,2054981435.1073022,-228186659.65048605,-2042273132.3192842
3,0.2313736322536115,1.006207913458707,884479.0,2055018563.8254352,-226471539.049786,-2042501392.819005
4,0.28928365235141384,1.0077740201678014,883181.0,2074919553.2107756,-227608126.95954782,-2062398044.228701
5,0.34902731973506784,1.0093039872056446,882636.5,2016865811.1816907,-232575488.39463004,-2003411176.5964515
6,0.4109323297282199,1.0108001209966833,884073.0,1987946877.4224038,-243292500.92292246,-1973003179.5332098
7,0.470904866361959,1.0122985433147145,884546.0,1991211010.4498687,-235712511.10605988,-1977210383.4050798
8,0.532289192362402,1.0138163538375156,886700.5,2004420777.2086887,-238808392.20866895,-1990144015.8733726
9,0.5917133123725637,1.0153350603759972,885353.5,2005263180.3501036,-230076191.3915478,-1992020423.746346
10,0.6494455663351459,1.016855772777548,885658.5,2008282492.9329848,-221478215.53066877,-1996032557.7170515
11,0.7073956850780809,1.0183802292894515,885845.5,2010339000.6532931,-221655959.2632988,-1998081963.601781
12,0.7660045227136598,1.0199096392099458,886692.5,2022716161.2341156,-224538211.90252244,-2010214729.901583
13,0.8249549609372955,1.0214299280633778,887722.0,2017398438.2789104,-224663007.66310108,-2004849867.6354685
14,0.8865063380405905,1.0229733192279877,886416.0,2039713495.9262438,-232849721.8493016,-2026379074.2352138
15,0.9501472217271651,1.0245121189458097,884559.5,2034125621.6395962,-242254116.52871126,-2019648481.2054713
16,1.0131836173508333,1.0260514967193883,880461.5,2033349198.4485903,-239152730.77567813,-2019236225.456066
17,1.0736641205324764,1.027572924249947,882999.5,2009820881.1160328,-227988478.04136315,-1996847822.9575758
18,1.1364265089298131,1.029076545798633,882776.5,1995762223.8551295,-234466282.91230282,-1981941577.429683
19,1.1974683450023649,1.0305721996589785,884543.5,1979431034.639053,-227395929.92147654,-1966326095.017655
20,1.2584370586534404,1.0320355513138362,884494.0,1932748568.437384,-226986635.20978856,-1919373360.300933
21,1.3183249696535542,1.0334742183765016,883228.0,1905152090.1644404,-223318994.68474367,-1892018264.5183244
22,1.3825181717430342,1.0349282696281386,882355.5,1910066802.1807075,-237101341.69840717,-1895293682.403244
23,1.4514066664765426,1.0363928944662235,886404.0,1913628882.787757,-256948966.25133526,-1896299746.817968
24,1.5195855794785091,1.0378613056264525,885944.0,1915990024.2277987,-254437477.5995319,-1899020627.3058827
25,1.586366997531912,1.039338397822704,884682.5,1922295976.7513032,-246851378.89167458,-1906380397.2380552
26,1.65213209177709,1.0408266001055586,884827.5,1934213578.9773107,-242776744.82921737,-1918916783.3104033
27,1.7171347644313015,1.042316158075823,883240.0,1932081060.6176121,-237946116.08459002,-1917372908.6011243
28,1.7809829120255414,1.04376034132453,880109.0,1870289733.7000341,-234731038.39361796,-1855501287.4149127
29,1.8460915801680386,1.0451934406260661,879566.0,1857340407.5954194,-242589641.94351315,-1841429785.6036859
30,1.9139027486840867,1.0466411536709055,878451.0,1878030029.7294023,-250183514.73969012,-1861291218.89024
31,1.9811416715148251,1.0480956256356755,878791.5,1878617740.2459452,-243276760.16235396,-1862799246.277411
32,2.0475767207002935,1.0495493964246305,879386.0,1874784460.4344933,-238400726.93145669,-1859564966.9977136
33,2.112964851687645,1.0509990359798187,881047.5,1869219137.875195,-233693680.0858009,-1854553167.015398
34,2.179617699415315,1.0524577389772856,881620.5,1875658731.476848,-236581278.96758708,-1860678633.0281215
