反復回数,回転角度θ（deg）,スケールs
0,-19.942699646275532,1.5008180637944872
1,-19.885345117283986,1.5016243915478458
2,-19.82723056886444,1.5024289833546305
3,-19.76875212034575,1.503231694310791
4,-19.710117074737237,1.5040309093094666
5,-19.652155039193186,1.504834076838365
6,-19.59459988344618,1.5056520441176686
7,-19.537237190001207,1.5064654407949112
8,-19.480466808222808,1.5072863783639423
9,-19.422957750119465,1.5081049844318895
10,-19.36519308723797,1.5089141510568913
11,-19.30745402795524,1.5097365590586895
12,-19.250115462075506,1.5105628309450922
13,-19.19324076761202,1.5113910040006064
14,-19.13673015313979,1.5122281846453705
15,-19.07979026268297,1.5130691359808737
16,-19.02228116777234,1.5139084884410285
17,-18.963885305309148,1.5147429520030593
18,-18.90709796575612,1.5155880841377913
19,-18.8511229262372,1.5164417839738353
20,-18.793781843239383,1.5172839467714057
21,-18.73700774465745,1.5181384810995593
22,-18.68152086546099,1.518998615369862
23,-18.625793132109337,1.5198629406319772
24,-18.570786109159766,1.5207259981299888
25,-18.51495428930088,1.5215846529275545
26,-18.45898309542921,1.5224516048006305
27,-18.403840421856895,1.5233315528108042
28,-18.347381876381256,1.5242109345585202
29,-18.291354552938294,1.5250849883075475
30,-18.235813989484186,1.5259559375862572
31,-18.179825108762042,1.5268225358949712
32,-18.12379348746656,1.5276937056006148
33,-18.067271914754937,1.5285593935814612
34,-18.010940584556405,1.5294230342570119
35,-17.95342140846279,1.5302831608386749
36,-17.895165003099734,1.531139477975234
37,-17.83557807340029,1.5319806044163442
38,-17.77677556443664,1.5328213471344336
39,-17.715558461488996,1.5336531294783224
40,-17.653476408680092,1.5344893100752373
41,-17.591417565126964,1.5353304052896581
42,-17.53055508760673,1.5361800170376758
43,-17.469669732332935,1.5370307064438682
44,-17.408122572127223,1.5378741184815423
45,-17.346085424861045,1.538719948540052
46,-17.283537344427682,1.5395561491144585
47,-17.220533321872367,1.5403905664948268
48,-17.156670592009828,1.5412115701180134
49,-17.091474644255655,1.54201933438763
50,-17.02476015829409,1.5428113296057757
51,-16.959627270567456,1.5436238450498359
52,-16.894351612999507,1.5444476942358434
53,-16.827971099989973,1.5452567241454709
54,-16.761530700724016,1.546074445367081
55,-16.693335292302198,1.5468775691217855
56,-16.625275038206183,1.5476901860512207
57,-16.555562335602204,1.5484943783751184
58,-16.487046153067887,1.54930980828693
59,-16.41759245986611,1.5501155128957627
60,-16.349239808617774,1.5509230179159532
61,-16.27966342724954,1.5517220531786604
62,-16.20933124207982,1.5525232246880105
63,-16.138352940777537,1.5533290227810992
64,-16.069204398877975,1.5541393069000273
65,-15.999379715275936,1.5549514155098716
66,-15.928877196115856,1.5557568297938478
67,-15.857931025583529,1.5565715920935885
68,-15.787328251853209,1.5573991722584397
69,-15.716268843854033,1.5582294088507749
70,-15.645919777181387,1.559067728076467
71,-15.574495285782868,1.559893625350547
72,-15.501882429199107,1.5607145100920528
73,-15.429185928964795,1.561544108152133
74,-15.356660291433725,1.5623831320320556
75,-15.283121914311646,1.5632175554998549
76,-15.212518641361042,1.564073658941834
77,-15.141087525182451,1.5649215949879964
78,-15.071336018600196,1.5657966233675795
79,-15.002410897534178,1.5666814513872678
80,-14.933273506339987,1.5675680624996642
81,-14.86255758297236,1.5684560651164423
82,-14.792277780671798,1.569348582066134
83,-14.722343131197597,1.570243359002867
84,-14.651580789337885,1.5711355291372462
85,-14.580842081140727,1.5720319260910023
86,-14.509125660364312,1.5729334530842098
87,-14.436017424970949,1.57382268231538
88,-14.363327714858892,1.5747013443347238
89,-14.28950470684697,1.5755822902022605
90,-14.216413616382022,1.5764668005279643
91,-14.142411720619442,1.577346570753003
92,-14.06756925335884,1.5782233461110555
93,-13.992268072694879,1.5791125010096274
94,-13.91640347105563,1.5799975996348423
95,-13.84090218122012,1.580887939370702
96,-13.765642818241284,1.581786170143003
97,-13.691164046815251,1.5826892149371778
98,-13.615675181493222,1.5835888217646945
99,-13.540927360811,1.5844863058201095
100,-13.466287069229681,1.5853799001096833
101,-13.39115874167407,1.5862758761674594
102,-13.315131476475452,1.5871529199085397
103,-13.239973685534435,1.5880432689659691
104,-13.164986462368327,1.5889356033008317
105,-13.089243748748903,1.5898151390963697
106,-13.01255508390525,1.590689221863739
107,-12.936064049767172,1.5915606360361692
108,-12.858843942112593,1.5924246162209592
109,-12.781455639906293,1.5932943208613444
110,-12.702995809141147,1.5941564800204264
111,-12.62483243732732,1.5950244429956453
112,-12.545417773427285,1.5958835654165007
113,-12.465323654800235,1.5967425129764348
114,-12.38428400031234,1.5975863216755426
115,-12.30463619871127,1.5984416704001232
116,-12.225426735958722,1.5992841123741401
117,-12.14632387637803,1.600129761769119
118,-12.066074316598586,1.6009749748622764
119,-11.986830536908391,1.601830929055934
120,-11.905711139413546,1.6026673326042644
121,-11.823859854415339,1.6035000762348466
122,-11.742858769606029,1.6043266222782924
123,-11.663121420323982,1.6051521689282826
124,-11.583054993976459,1.6059755407136382
125,-11.502426851869366,1.6067994049921488
126,-11.420779010485616,1.6076190195267204
127,-11.339291505149886,1.6084371114489058
128,-11.259109554482071,1.6092632095994404
129,-11.178350516060112,1.6100836494973705
130,-11.096154546387002,1.6109015360236019
131,-11.014431266096578,1.6117241186565108
132,-10.929718502164613,1.612530591406267
133,-10.843481015314703,1.6133376251949623
134,-10.75752550140206,1.6141467586656713
135,-10.671338603753103,1.6149614808015254
136,-10.583400962175771,1.6157699095989726
137,-10.493523639471618,1.6165766012832228
138,-10.40183674939558,1.6173823107767666
139,-10.309043228631895,1.6181815068376846
140,-10.216024075989807,1.618976231807144
141,-10.12193332116843,1.6197715235044372
142,-10.028366457392355,1.6205686170604086
143,-9.935182811495112,1.6213724676468166
144,-9.84202204652177,1.6221713177586334
145,-9.750105060553423,1.6229805994019926
146,-9.658352089764877,1.6237882390450364
147,-9.567933435725612,1.624608224600976
148,-9.478730178367918,1.6254407044431143
149,-9.391281586284878,1.6262866816173318
150,-9.303545571208161,1.627141255238106
151,-9.215638514611634,1.6279872619933324
152,-9.126428661095396,1.628831549768119
153,-9.037073416026809,1.6296750235307638
154,-8.946003452480582,1.6305197049815803
155,-8.85429340180083,1.631369845430816
156,-8.762830239094232,1.6322203416821761
157,-8.669694847371835,1.633077319022652
158,-8.575173984819255,1.6339342402638777
159,-8.479416092665906,1.6347702441614194
160,-8.383178712334738,1.6356181675812058
161,-8.287254314073287,1.6364699883393958
162,-8.190731062172075,1.6373196724262113
163,-8.092120524834447,1.6381718415686493
164,-7.993599355722035,1.6390207415679692
165,-7.893830259881366,1.6398800752685116
166,-7.793488961261122,1.6407463640171474
167,-7.692947966505814,1.641601181080731
168,-7.59284123498871,1.6424669942401122
169,-7.490630235850474,1.6433379647614843
170,-7.389468769042432,1.6442156867385047
171,-7.291285097127858,1.645126404738791
172,-7.194728844143053,1.6460334780789663
173,-7.097645044065003,1.6469537321242498
174,-6.999852004603869,1.6478796634636894
175,-6.904127273772587,1.6488098448671542
176,-6.807547729385915,1.6497304632572911
177,-6.710128656859628,1.650649164330097
178,-6.61467907152666,1.6515701157471505
179,-6.517515780215064,1.652505504268937
180,-6.419161170234175,1.653451436117402
181,-6.320866628771216,1.6544013743808696
182,-6.223522189662273,1.6553517966819864
183,-6.127571566519233,1.656297548335566
184,-6.0310788587130295,1.6572415957557127
185,-5.93256190575852,1.6581801408523984
186,-5.833051629142606,1.6591221197160475
187,-5.731986422390397,1.6600728533045062
188,-5.633466140420015,1.661045804518141
189,-5.535994580568984,1.6620329318090667
190,-5.438536435497446,1.6630300623395298
191,-5.340342677116218,1.6640292249224553
192,-5.242368806722918,1.6650372927515744
193,-5.143625289789139,1.6660425677133808
194,-5.039838289399677,1.667042272735854
195,-4.935682057544329,1.6680487172706446
196,-4.831604008120317,1.6690730724012213
197,-4.727412212174716,1.6701054870900027
198,-4.624721654307733,1.6711494530531597
199,-4.519880132969683,1.6722095750474206
200,-4.413103828422845,1.6732886495304482
201,-4.305903196159453,1.6743750952042669
202,-4.19589938165041,1.6754749207712336
203,-4.087114462238308,1.6765870952447408
204,-3.9797039673921444,1.6776957725516484
205,-3.8733751830123975,1.6788230772468475
206,-3.767949842149876,1.6799548517259124
207,-3.6604308963759817,1.6810803853536123
208,-3.552431779149297,1.6822078414470174
209,-3.4421675482800547,1.683347255974333
210,-3.332018704390728,1.6844764486759127
211,-3.2230006016964654,1.6856012003877434
212,-3.112814724333413,1.6867200299858667
213,-3.0035912060147534,1.6878520750667165
214,-2.8920189563030103,1.6890019917352095
215,-2.7773507646182334,1.690156745066445
216,-2.6637725787881577,1.6913389861135433
217,-2.5488635920451324,1.6925130206980572
218,-2.4325951961595687,1.693712514316596
219,-2.317124270402208,1.6949402032581884
220,-2.2013653406980396,1.696160350797107
221,-2.084116776561844,1.6973846245099646
222,-1.9665274110235371,1.6986271492576817
223,-1.850878879642842,1.6998595120112163
224,-1.7350477257270036,1.7010981345986071
225,-1.6185963134579053,1.7023500872564623
226,-1.5013618441297256,1.703600843649584
227,-1.383609362058434,1.7048664936598061
228,-1.2634691095001185,1.7061481604325208
229,-1.1445602228315874,1.7074656981803304
230,-1.023930610808386,1.7088007572675308
231,-0.9031606551849163,1.71013105296075
232,-0.7864268191993341,1.711485790630073
233,-0.6690995712008496,1.7128474687787734
234,-0.5497234025540909,1.7142043817053496
235,-0.4281689748730419,1.7155694388546099
236,-0.3027328318557948,1.7169247483245305
237,-0.17807348062989403,1.7182735850325013
238,-0.05584065063136728,1.7196432453849892
239,0.061224272292336464,1.7210227480064888
240,0.1797782016138904,1.7224305799014645
241,0.30041363172503627,1.7238244325467975
242,0.41921131189186955,1.7252243558368126
243,0.5391938140324976,1.726619163366657
244,0.6597319831876789,1.7280212562339001
245,0.7772367439765443,1.729432604833979
246,0.8929515333312124,1.730858986742242
247,1.0106429174893696,1.7322850500887983
248,1.127077058346409,1.7337323357802465
249,1.2474406599666283,1.7351914444082925
250,1.368128589497681,1.7366603162558656
251,1.4879993271895573,1.7381249466774416
252,1.6076092296478242,1.7396196698706006
253,1.7287290746922903,1.7411156158859735
254,1.8483934137776166,1.742605147128806
255,1.9695269852694703,1.744119444309759
256,2.0904520621060008,1.7456163923483774
257,2.212953604896644,1.7471309069940117
258,2.335045347130283,1.7486477058798198
259,2.4590056528809012,1.7501631187542057
260,2.5803221505745504,1.7516889496701296
261,2.700490717991322,1.7532299131305658
262,2.8224465872963593,1.7547697625130607
263,2.9428968570766485,1.7563003990354804
264,3.0607144254391576,1.7578352144617801
265,3.176204874619629,1.759369584753323
266,3.292117648503803,1.7608969318158185
267,3.4086268238923725,1.7624401757598298
268,3.5256030433486067,1.7640220034795815
269,3.6422470459567102,1.7655917843130846
270,3.7568546189589687,1.767165104664486
271,3.8735413321165444,1.7687495845456191
272,3.992646897114951,1.7703459773985728
273,4.111140582853543,1.7719276205011372
274,4.2275430587785605,1.7735252317296666
275,4.343035420116794,1.7751308513324515
276,4.456518706490541,1.776717692591859
277,4.568347625945644,1.7783161888806067
278,4.683975436574317,1.779914437821335
279,4.801402645676049,1.7815077459782804
280,4.919239800315781,1.7831324036049165
281,5.034637950708013,1.7847504043397706
282,5.151152160951299,1.786376313454305
283,5.267848382151164,1.7880157973457895
284,5.385593635691311,1.78966867616396
285,5.504850589262512,1.791325448052156
286,5.624955542130806,1.7929562095330966
287,5.746450657863396,1.7945991687854337
288,5.868666259642591,1.7962539124733363
289,5.992857692809558,1.7979455838475782
290,6.116258070855032,1.7996488104875759
291,6.234525668893799,1.8013362818102179
292,6.353820806124748,1.803023048079455
293,6.4753513224280335,1.8047497423628578
294,6.597680369172604,1.8064853753252637
295,6.718001871997825,1.808216755982231
296,6.838388607636304,1.8099876726600956
297,6.9564104982713335,1.8117382514969327
298,7.075670727669941,1.813500632387675
299,7.198321652486156,1.8153021067198656
300,7.319822489672855,1.8171048481389123
301,7.440683681699616,1.818913706103709
302,7.56002360935791,1.820729042347309
303,7.67986289880076,1.822555710703216
304,7.802312214689367,1.8244115106302652
305,7.9241986020429325,1.826283142871841
306,8.044586901341576,1.8281749810101626
307,8.164558117694376,1.8300686709157026
308,8.282426947711727,1.8319749966920256
309,8.402286487436434,1.833901379526891
310,8.521522246855403,1.8358332385541805
311,8.641440513912581,1.8377722001432957
312,8.760904685560666,1.839706284038058
313,8.880675579826617,1.8416509534359546
314,9.001547616544494,1.8436043125203316
315,9.122484682388137,1.8455794590982373
316,9.24168222038357,1.8475331193569218
317,9.36399926101369,1.8495307732152957
318,9.484638625444363,1.8515385271021556
319,9.605875786497078,1.8535666025331707
320,9.726495301834946,1.8556000212329642
321,9.84383572497571,1.8576030727374608
322,9.960037790664767,1.8596052658879583
323,10.074876989793394,1.8615915924527393
324,10.189230430424105,1.8635812904965627
325,10.300061091338529,1.8655703224237916
326,10.410568406025343,1.867567520588495
327,10.5184717918054,1.869553211050386
328,10.622105607711642,1.871499574161344
329,10.723656349337798,1.8734407559708843
330,10.823961095505963,1.8753892571788522
331,10.922493309499131,1.877332638773548
332,11.01942817896983,1.8792695262518675
333,11.114298807450979,1.8811938307900444
334,11.208945528953812,1.8831114209242115
335,11.301304519023693,1.8850203227695843
336,11.391934829544788,1.886908172197592
337,11.481076608548904,1.8888041464392533
338,11.56861808466131,1.8906783768279818
339,11.653691634596868,1.8925257631450976
340,11.738319380276405,1.8943774321545814
341,11.82041563982474,1.896197908222599
342,11.903619409470574,1.8980261173611843
343,11.985352590135943,1.8998396654512775
344,12.06570259506825,1.9016608064481437
345,12.144072805385463,1.9034614902001494
346,12.220727906322123,1.9052530991447238
347,12.29721233622491,1.907047373509551
348,12.37449536718249,1.908843464710138
349,12.450140709002753,1.910634652599898
350,12.525979638578217,1.9124299284546469
351,12.60096616381312,1.9142228016041127
352,12.675760457129181,1.9160348282274327
353,12.750406448082007,1.9178431024143003
354,12.824826251374992,1.9196376542774174
355,12.89872623693803,1.9214176213536995
356,12.97175422750103,1.9231782658799763
357,13.045101861330133,1.924935843480024
358,13.118803386900044,1.926695569354768
359,13.192001158191236,1.928452544453495
360,13.26573189249909,1.930210248157304
361,13.337807214255381,1.9319614944751538
362,13.409554988096955,1.9337120088773636
363,13.480941124979388,1.9354578281092085
364,13.553058698252759,1.9372164472833522
365,13.624969694827438,1.938968711703899
366,13.697546095563483,1.9407298532749016
367,13.771622987024097,1.9424941980485178
368,13.845198930536206,1.9442577261500213
369,13.917433008426118,1.9459996922408689
370,13.98755632880619,1.947730049693859
371,14.059427749720362,1.9494899192232151
372,14.12956843147819,1.951209129050111
373,14.199524810675412,1.9529262532003742
374,14.269644614927278,1.9546299712588913
375,14.341270761190646,1.956361188553303
376,14.414409722691769,1.9580985556224737
377,14.486850936468048,1.9598237667312692
378,14.55929818627715,1.9615450703238007
379,14.632432097001972,1.9632520418566655
380,14.7062437576731,1.9649765091730305
381,14.779074927793234,1.9666721875789355
382,14.850792234113293,1.9683590912004318
383,14.922628222011365,1.9700462055322276
384,14.99452047309889,1.9717409876104306
385,15.068242991868873,1.9734535943468907
386,15.142735162112041,1.9751638810551198
387,15.217194154955457,1.9768799395806607
388,15.289894394943836,1.9785514967208995
389,15.361870965132221,1.9802176239267
390,15.433688161674484,1.9818500380810682
391,15.503185236177567,1.9834619936575266
392,15.572358647181009,1.9850773856494859
393,15.642017536052116,1.9867016455796558
394,15.71062169938074,1.9882918930980804
395,15.779089712169343,1.9898802393802764
396,15.847161571338207,1.9914709155351924
397,15.916782039237832,1.9930761233159224
398,15.987282918540513,1.9946924785611977
399,16.057220641398406,1.996268364226834
400,16.126277137207268,1.9978448336747159
401,16.19455282034555,1.9994078171155696
402,16.264311177830024,2.0010011379695727
403,16.332276239388026,2.002569506645845
404,16.39999652481579,2.0041393260864706
405,16.469603947221046,2.005733428610231
406,16.53809071060367,2.0073018655368413
407,16.605481645070803,2.008862382797668
408,16.6735118957644,2.0104338813446603
409,16.739130566333642,2.0119752104751956
410,16.804174535555006,2.0134914496245777
411,16.869785404547745,2.0150237028751454
412,16.934913481754744,2.0165571562770648
413,17.00081674656622,2.0180937718001126
414,17.065600489306338,2.0196235493018624
415,17.130440588608753,2.0211612698072594
416,17.194083404715617,2.022685939999096
417,17.25825460559871,2.024222202384849
418,17.32240517903896,2.0257662885306305
419,17.38828567039026,2.027340351118558
420,17.454318600802885,2.028926452127139
421,17.519400776604698,2.030490244957853
422,17.584725404751858,2.0320508680086724
423,17.650194802965444,2.0336143872163457
424,17.715432116915277,2.0351704399967163
425,17.780115055526444,2.0367154811211297
426,17.843695185835536,2.0382397564429104
427,17.907930391078356,2.0397771067315715
428,17.972084498379484,2.0413155755110908
429,18.035731889424316,2.0428555915133257
430,18.09826770705707,2.0443867401263778
431,18.15905408702717,2.045901144583083
432,18.21971110906746,2.047417973273348
433,18.28191450660667,2.048923720910576
434,18.34384213612899,2.050431561303775
435,18.40371639399077,2.051919839468596
436,18.463654187274688,2.053410067475882
437,18.523132208733937,2.054896700595835
438,18.58261202481187,2.0563918719040766
439,18.64171901322678,2.057894045306916
440,18.699905434883842,2.05938684032564
441,18.756437307756695,2.0608584710731854
442,18.81300278691786,2.0623334253570302
443,18.867867948800075,2.0637833059424615
444,18.922314814982702,2.0652416852419204
445,18.97574410477905,2.066688488145373
446,19.028907822528883,2.068132256074287
447,19.081890785148076,2.0695619936501615
448,19.13412745279652,2.0709915231854112
449,19.186326368527613,2.072413632395154
450,19.2379059179792,2.073828448426791
451,19.289543440574814,2.075252208316994
452,19.34117805430892,2.0766858348359816
453,19.39286046689639,2.078122294321188
454,19.44359001038684,2.079561548960828
455,19.49351612567738,2.080993129258108
456,19.54440893256912,2.082436504590465
457,19.59509346022241,2.083884208363487
458,19.64558744646565,2.085336000950419
459,19.694962352322122,2.0867767650660074
460,19.744393616568157,2.088225503312918
461,19.79310474707959,2.089667915555353
462,19.842100789360888,2.091101883461637
463,19.89283434034218,2.092575581357248
464,19.94353448151523,2.0940491103716146
465,19.995651050743714,2.095529540927355
466,20.048391166285615,2.097033069421896
467,20.1012803583284,2.0985428210489525
468,20.155140248906218,2.100067227073982
469,20.209181257606122,2.1015977905098904
470,20.262280757604398,2.103114418148976
471,20.313402951479706,2.1046043280217686
472,20.365504797335827,2.1061016095393685
473,20.417785108358295,2.1076103535365887
474,20.470031731602653,2.109122318529064
475,20.522714150477576,2.1106443903796896
