反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,-1142939789.7815518,-1546045924.36743,902815.0
1,-1133945129.5234222,-1531857805.8033993,903477.5
2,-1137174617.776373,-1534735998.2648928,904054.0
3,-1142535357.298299,-1535959570.503233,903796.5
4,-1138363898.308565,-1532151741.3089702,902769.5
5,-1129750031.0196867,-1529520776.1048024,901146.5
6,-1127805557.352136,-1539462132.172803,899670.5
7,-1124108603.0333977,-1535573940.240425,900268.5
8,-1122640927.6109324,-1537987554.7643712,899181.0
9,-1126481408.1266427,-1540251933.0974097,896907.5
10,-1122992537.0075629,-1531529464.1003528,897534.0
11,-1126968092.3156033,-1545242799.9302435,895139.0
12,-1124099769.4350054,-1545628379.8879642,894473.5
13,-1116988044.3872554,-1541743226.0543048,894852.0
14,-1115265699.7865968,-1550270213.265966,895804.0
15,-1119209842.969799,-1558078939.7563221,897316.5
16,-1121174590.0408463,-1559096834.0323372,893631.0
17,-1128854812.7443733,-1559863216.9986846,892436.0
18,-1117528849.7812285,-1557249358.3722594,893974.5
19,-1109416215.1182096,-1559617617.4345436,894817.5
20,-1112074988.2590382,-1552687412.0188289,892471.5
21,-1112284932.841291,-1559463147.3742497,894265.5
22,-1100656224.584168,-1551948567.1158328,895466.5
23,-1101416854.9194636,-1559214874.035201,896403.0
24,-1093035076.7234633,-1554429688.7172647,896478.0
25,-1096739140.2650995,-1555933008.6299355,894374.0
26,-1102220654.639792,-1565801409.0726027,892555.5
27,-1096723699.2105842,-1572790446.9593031,893531.5
28,-1102896472.0637474,-1579869012.9651446,893491.5
29,-1092611062.6867857,-1566985651.0618715,893598.0
30,-1090970135.8065825,-1563557470.7939463,893071.0
31,-1088503857.243867,-1559092627.8062139,893157.5
32,-1089034120.6914911,-1565469274.1442916,893254.0
33,-1087124190.07383,-1562141390.8543227,894017.0
34,-1082379680.9942026,-1555476285.8924887,893579.5
35,-1090090959.6836843,-1561054941.0884576,894583.5
36,-1095434095.577034,-1562479830.7606664,896111.0
37,-1099537264.5915337,-1555185797.7591746,895694.5
38,-1092763231.6358383,-1548795941.5914543,896868.0
39,-1107550099.529979,-1554078774.9977064,897560.0
40,-1118728264.5249748,-1564829313.8944507,897176.0
41,-1116909333.8905613,-1567561728.0770564,896455.5
42,-1108615198.6197388,-1568234718.889117,895928.0
43,-1110325007.4951108,-1571129132.9721901,898500.0
44,-1108733254.91565,-1566951548.2400947,899735.5
45,-1112331467.1193187,-1573148292.1232808,900228.0
46,-1108880203.6376967,-1563442889.7914217,899416.0
47,-1107973717.7649179,-1563906853.1406202,896029.5
48,-1107741863.2793598,-1552571175.2533264,896663.0
49,-1111842137.8380566,-1548186254.2345521,897363.5
50,-1116610884.3149822,-1541429975.068394,898369.0
51,-1106522657.6530504,-1549526357.0263598,897676.5
52,-1108147813.6965752,-1555680560.8174016,900335.0
53,-1111769075.4935772,-1547375934.4930372,900240.5
54,-1114402972.8765304,-1558812413.5371988,898880.5
55,-1116949976.4949298,-1549280904.7877402,898794.5
56,-1117209182.545205,-1555985445.4495678,900654.0
57,-1120217474.49,-1557419830.7158942,900020.0
58,-1110501489.9220734,-1557812642.7163157,899519.0
59,-1114825591.2450788,-1552045397.431753,898633.5
60,-1106252372.287264,-1547258257.4946826,900028.5
61,-1111744543.3438663,-1546871434.2255316,900123.0
62,-1119099753.3397079,-1554433696.9128938,901266.0
63,-1122769436.4195004,-1556406006.0748653,903760.0
64,-1100909447.9891107,-1541782705.7606423,902519.0
65,-1104068151.2502546,-1547060679.8635368,902402.0
66,-1102715892.0957117,-1540616179.145624,902148.0
67,-1106706874.0986745,-1550249242.3331401,903152.5
68,-1106445749.4108336,-1560739299.0152864,901916.0
69,-1105602782.473135,-1561096193.1679296,904112.5
70,-1103220947.738965,-1561426963.5922077,904710.5
71,-1106692106.2988923,-1553655407.5250523,902846.5
72,-1113526891.665646,-1554223371.6971269,902022.0
73,-1116477765.3338647,-1563400635.405168,901300.5
74,-1115601840.0155177,-1570983257.7289822,901078.0
75,-1117800444.149476,-1569294518.1746166,900650.5
76,-1100705060.1433635,-1570566556.3984597,901374.5
77,-1097719134.9588227,-1566640894.667913,901081.0
78,-1087794306.2363749,-1580687851.1970377,900726.0
79,-1082009807.050633,-1584208190.6842043,899425.0
80,-1082157353.4775136,-1583791966.184729,898084.5
81,-1093319681.3697944,-1595925828.6688066,895621.0
82,-1086005856.3679078,-1593202554.0575085,892658.0
83,-1079184926.8074858,-1590494437.9893568,893231.0
84,-1082594507.5874023,-1589922838.611899,891734.0
85,-1081043107.8866699,-1592908687.3968034,893047.0
86,-1089539042.1632285,-1602422293.9911036,891283.0
87,-1092597805.6000247,-1592951090.707418,891314.5
88,-1083204723.585727,-1579185968.6782892,895174.0
89,-1085815887.346167,-1581114248.8847158,896720.5
90,-1077595086.025024,-1576645934.0965047,894540.0
91,-1080626754.4697983,-1576152544.9545593,894293.0
92,-1078659865.5375435,-1573442125.2858377,894458.5
93,-1080418785.4418035,-1585286486.6593528,896698.5
94,-1081542888.655792,-1585263903.8028355,898560.0
95,-1079388322.4025524,-1586038962.2619324,896544.5
96,-1082382026.8318906,-1591742111.9777377,895303.0
97,-1074625391.5898724,-1589967130.632172,895416.5
98,-1076870987.770472,-1588217189.6293366,895024.5
99,-1064043138.8868527,-1572923623.7212842,890825.0
100,-1056389362.3174704,-1567431912.938027,890784.0
101,-1057905468.0008824,-1568049494.1712463,891163.0
102,-1051453919.0369307,-1548415798.4464717,889341.0
103,-1045247209.6270807,-1551637067.8093555,889389.0
104,-1041957975.9919238,-1552606766.1558332,885249.5
105,-1042341456.2126405,-1541642229.954214,886642.0
106,-1044655190.3523412,-1538864162.9188833,889120.0
107,-1043329553.8171349,-1536044355.765212,887301.0
108,-1042497806.7874829,-1526497014.705691,888841.5
109,-1045532536.0928711,-1529360239.3971012,887072.0
110,-1048445757.0573903,-1528294031.7542326,886775.0
111,-1045120510.082248,-1528876471.2323282,885672.5
112,-1052485200.5243871,-1521549528.4933798,886708.5
113,-1057116313.475599,-1521550314.9402568,885317.5
114,-1060781442.1177881,-1503288977.3618078,885758.5
115,-1047329323.4534574,-1504519174.1832798,887394.5
116,-1033248087.800129,-1481998804.905692,887107.5
117,-1025749116.9162922,-1483119949.729449,885578.0
118,-1027562392.3983849,-1485491135.3349288,886282.5
119,-1021870866.2727863,-1490124694.9366808,883962.5
120,-1023214102.2276654,-1475320286.0815427,882769.0
121,-1025709228.4075528,-1471536558.3677588,880848.5
122,-1015204788.57512,-1459196979.7550294,881409.5
123,-1001725144.6970813,-1446655657.4927788,880790.5
124,-1001107041.992307,-1444342869.935485,880664.5
125,-1001409481.1312578,-1444189502.399212,879493.5
126,-1005538351.7645874,-1440073931.142641,877695.0
127,-998639598.4571428,-1434302323.196509,875688.0
128,-991504994.2078302,-1436946292.8100402,875412.0
129,-990621271.213506,-1428988282.3642993,875319.0
130,-998467123.9329512,-1429950067.0110414,876500.0
131,-996286431.7193712,-1432252045.9555197,876273.5
132,-1007967154.7237594,-1425545040.4928598,876378.0
133,-1014619100.5050592,-1429798342.5062573,875297.5
134,-1006000363.4526805,-1428487371.1726594,877475.0
135,-1002468884.2514868,-1428758420.0231128,876913.5
136,-1014451325.9100213,-1431898776.8094945,877618.5
137,-1021599824.3926512,-1437464120.1541245,875645.0
138,-1034390170.3197572,-1440094291.8680525,874715.5
139,-1035383616.993264,-1434211863.7605677,874242.0
140,-1027474903.1887146,-1421584039.7487562,872209.0
141,-1028455609.4292523,-1422140489.998053,871943.0
142,-1019686211.6916091,-1417376109.1801984,873789.0
143,-1012358608.3407327,-1418760277.838574,875650.0
144,-1006254349.1352527,-1407525685.7844818,874606.5
145,-994668708.9774394,-1413413318.681734,874012.5
146,-990617913.1263906,-1404935651.9693484,873944.5
147,-976618857.2469311,-1409686243.8710775,871600.5
148,-966255165.3055506,-1412772410.300932,871305.5
149,-954277320.8190333,-1411648484.5288813,869503.5
150,-951352333.7265685,-1414319041.7944393,867852.0
151,-949419843.419131,-1404571115.917389,870281.5
152,-955348277.1771517,-1402198554.1303914,871350.5
153,-955864926.1754421,-1401631163.6954813,872734.5
154,-968163236.6182771,-1410723486.4114091,874512.5
155,-969528901.614623,-1414845902.1664224,875764.0
156,-965682547.158662,-1408004731.277619,876575.5
157,-970817429.1771117,-1417656348.4952939,875422.5
158,-976795743.553751,-1417676398.9401984,874330.0
159,-969910633.8375101,-1391388380.2056901,875383.5
160,-970817659.3311555,-1397493359.9891896,876442.5
161,-962689994.4154428,-1396271520.8397768,877095.5
162,-961129337.1389799,-1393283441.4124389,876351.0
163,-969039190.4462639,-1398555954.9447048,875548.5
164,-967902186.0392377,-1391805227.5511823,873948.0
165,-975272250.5229182,-1397448317.6149082,874519.0
166,-971468617.6829486,-1396172358.643882,875474.5
167,-967917989.2057374,-1378174762.2109654,874174.0
168,-964602485.7853205,-1385281683.3023088,872737.0
169,-978060417.7972354,-1393089979.1062217,872050.5
170,-969047042.8382821,-1395285011.0160742,870542.0
171,-948071486.9941585,-1412260039.745973,870268.0
172,-933380342.5589322,-1396126507.2485948,869841.0
173,-938716316.2948925,-1410025651.7537544,868145.0
174,-942546784.9139454,-1410522950.8807342,869224.5
175,-926262602.4277539,-1400639337.165907,868612.0
176,-928475544.2201248,-1388760820.3297853,867725.5
177,-925562152.8582256,-1383192666.577651,867159.0
178,-909344640.0756571,-1374016668.7372477,865157.0
179,-923167654.3401494,-1388396630.818689,865206.5
180,-930647075.3368737,-1393994079.9325643,864385.0
181,-927168949.1155432,-1393388146.819142,865690.5
182,-919222393.1642804,-1389160909.4926353,868516.0
183,-907409084.294549,-1374349385.7484188,872073.0
184,-902247033.9405613,-1372131411.1502526,873154.5
185,-905253347.1730219,-1361863548.8863223,872265.0
186,-907529561.8248001,-1362417181.9178782,871508.0
187,-917639342.7457738,-1369018298.421703,873379.0
188,-903826326.7550938,-1381756905.66012,872004.5
189,-896335574.7180142,-1390835477.345419,872850.5
190,-895692246.5303766,-1391373470.2978523,873851.5
191,-898427020.615831,-1392930196.7049577,873155.0
192,-888812110.3102858,-1395720637.9772239,870140.5
193,-890494486.6824346,-1388268207.9497278,871436.5
194,-920735683.1953189,-1388898812.6478908,872179.0
195,-924190342.7314913,-1389961183.8135498,874572.0
196,-928236241.7446189,-1404873760.5992467,877729.5
197,-928867532.0593606,-1408457526.6086168,875265.5
198,-921457462.991766,-1412634986.3351154,874577.5
199,-927713524.8528615,-1429289568.5109527,875444.5
200,-932230198.6991082,-1448940486.3850827,875489.0
201,-925038785.2923778,-1449567182.4022949,874190.0
202,-943109295.865377,-1460559408.5194304,872212.0
203,-938128512.9483106,-1463627913.985942,872753.5
204,-930241053.5568714,-1453484768.4226952,870801.5
205,-919047804.1133591,-1463413181.9000788,867280.0
206,-905348270.979512,-1466153046.6195433,865161.5
207,-906223198.5238752,-1453735584.6256866,864867.0
208,-904304077.0381349,-1448014609.0919175,860891.5
209,-915474618.5965793,-1458617784.9003143,856008.0
210,-913788168.1905568,-1441483505.7472992,852924.5
211,-906693765.8410196,-1431847561.4171739,853408.5
212,-898458974.2341734,-1419694043.4517088,854649.5
213,-887786115.2809074,-1432620029.6162636,855870.0
214,-897679006.7497041,-1449087417.1235769,853902.0
215,-910270738.9804763,-1451157135.9270136,851932.5
216,-896179084.1274512,-1468265187.3600569,851312.0
217,-895146648.0179145,-1453955365.650462,849900.0
218,-904598678.3740609,-1467768211.6162171,849226.5
219,-908098606.916618,-1491627124.563365,851044.5
220,-899846115.111373,-1480208679.7127926,850217.0
221,-891276228.9757224,-1483479548.9408674,849203.0
222,-891556535.0816097,-1497115746.9514604,849889.5
223,-872863344.5340726,-1482433356.557597,846109.0
224,-866424673.4493659,-1480962751.504651,844407.0
225,-882900343.4687402,-1478195063.8083785,845584.5
226,-886407526.9570805,-1469001860.4759994,847943.0
227,-877914330.5114278,-1475394986.3851404,844838.0
228,-879839864.6608098,-1476072565.767377,843459.5
229,-869920669.687002,-1505323882.3176155,843469.0
230,-872904242.1057093,-1518692009.2359028,843527.0
231,-887375024.0376987,-1503744297.6181936,844422.0
232,-882413535.6377202,-1521570232.1600478,845597.0
233,-877116731.7312346,-1522169297.7202756,845689.5
234,-865367724.1301557,-1510698662.715216,848667.0
235,-859388179.8296057,-1514753171.4263961,849373.5
236,-866072879.0450988,-1495383806.7466693,850628.0
237,-854190834.614072,-1475512968.321467,850721.0
238,-846448031.2241198,-1487589154.9468267,848433.5
239,-842035641.1302848,-1492475549.4429932,845385.0
240,-842979092.2952267,-1516852326.8505154,846002.5
241,-840597012.7443892,-1495913108.1525066,844788.5
242,-832961164.4949844,-1495456819.907565,844145.0
243,-828477947.1870003,-1479260935.7531009,844728.5
244,-820089343.7426441,-1474238600.4109592,844692.5
245,-810468679.5287905,-1480889844.7065759,844874.0
246,-800013643.2483932,-1492243063.3502517,845777.0
247,-808362307.0616252,-1485285814.2517285,842850.0
248,-791007796.3331888,-1502591942.9883301,842184.5
249,-807044220.0758703,-1503502108.2755177,839198.0
250,-815531171.3524494,-1503990646.0490947,839336.5
251,-805747211.9944034,-1490642522.0485744,836597.5
252,-802419054.2037717,-1512790027.367589,834692.5
253,-795418609.3730245,-1499740833.40759,833201.0
254,-790080320.5012456,-1487935803.3820696,831295.0
255,-791690227.3538916,-1502935276.5648685,828274.5
256,-804908478.674003,-1481219281.595761,825011.0
257,-809856070.9926716,-1489709331.8935056,823507.5
258,-807443905.5640488,-1486544691.515872,821150.5
259,-809291516.2852874,-1471500567.031159,819851.5
260,-796187975.2535918,-1481383048.4398987,814502.5
261,-771422634.6504972,-1491778576.2648373,812402.5
262,-775673200.7500734,-1480974251.8777306,811146.5
263,-763205488.5362358,-1465477401.9809356,809072.5
264,-751576914.3854011,-1470191680.557246,809826.0
265,-737998507.6274021,-1465689453.5821757,810140.5
266,-734967618.529818,-1449687867.2090392,807905.0
267,-728940932.2364304,-1458827312.514138,807993.5
268,-727456787.2122929,-1488717344.4832428,806146.5
269,-723822719.5292189,-1475975778.9195175,805655.5
270,-711440463.1001186,-1475282570.9890409,805135.0
271,-710546213.7754182,-1474402849.553327,807778.0
272,-719965132.859332,-1474083815.5777726,805591.5
273,-720395832.5868042,-1454089448.672718,804887.5
274,-697781113.5263166,-1465969316.505053,804508.5
275,-683028831.7641128,-1468498863.9197237,807494.0
276,-668230155.6332989,-1445898990.8166912,807693.0
277,-650948344.012003,-1451309797.3192701,807571.5
278,-671908661.3977665,-1429152327.7500148,810114.5
279,-683179085.8716326,-1413006599.6047702,810653.0
280,-677597578.707599,-1437805706.1050518,810458.5
281,-658117350.9332689,-1432220382.7769117,809313.5
282,-665593840.6930556,-1431338443.8780441,808635.0
283,-659353103.4521645,-1436202127.692989,809800.5
284,-667107127.2995868,-1435209488.9874558,808129.0
285,-675983184.5484558,-1426144244.6052492,805855.0
286,-676350609.9349768,-1389730902.5110369,804658.5
287,-676807866.6455951,-1393320648.127159,803568.0
288,-675790206.6939228,-1393674998.5459266,802882.0
289,-680068024.7819321,-1417118459.3392348,803172.5
290,-678364566.5095348,-1418108155.5885983,802743.5
291,-650903147.6883038,-1406607280.8780534,804557.5
292,-658875339.6032186,-1397287300.2747335,803939.0
293,-672891383.8250757,-1422264541.6883183,802000.5
294,-659721811.0450072,-1422624426.5043888,802779.5
295,-651681323.0551379,-1415305608.776659,802658.0
296,-640822977.0114208,-1448922001.7434297,805175.5
297,-633096229.1260371,-1427305291.54461,804571.0
298,-634769101.7760137,-1429125325.5254965,804879.5
299,-643270676.7449487,-1449625687.2415059,807915.5
300,-629318335.9779781,-1448820509.663422,809031.5
301,-623347401.9368379,-1446188580.4753685,808457.5
302,-609354993.3165808,-1449370386.3999019,809483.5
303,-611931750.283011,-1450850160.710072,808251.5
304,-627036031.1818538,-1457798742.200014,807308.0
305,-621094021.0313926,-1464871584.3403835,804877.5
306,-602499357.2247808,-1482932028.1002622,803673.5
307,-593572050.6519406,-1478920661.107017,803603.5
308,-570973170.419749,-1492315778.0746937,806895.0
309,-575004012.6618725,-1495810307.6165113,805225.0
310,-566238119.9319369,-1496681883.0879273,803502.5
311,-569395999.4500413,-1488062488.4146678,800696.5
312,-562347250.1552141,-1474906979.434854,799256.0
313,-557492422.1203029,-1474430469.121419,798891.0
314,-558762929.7777151,-1469079052.0650048,796218.5
315,-554748112.556896,-1483526475.7123368,792461.5
316,-547815196.9377017,-1462500676.6875687,794339.0
317,-553178041.7558209,-1482342076.9694712,792305.0
318,-533373449.11059266,-1489898898.8747468,793214.0
319,-534244635.9438508,-1498752371.1131716,792697.0
320,-528320577.83861613,-1495648520.0337052,790942.0
321,-507137836.1619724,-1479410773.3034039,790652.5
322,-496625602.66603583,-1473361339.0628347,789249.0
323,-485203792.369321,-1455649158.9714377,789264.0
324,-475613840.8506949,-1453463682.381668,786101.5
325,-440001634.6899727,-1461329820.8892457,787995.0
326,-431921564.29302216,-1463218836.419119,788113.0
327,-411730352.8344542,-1457428685.1955998,787861.0
328,-377776457.56286544,-1435842761.8812447,787129.0
329,-359840741.97047496,-1434638357.793083,789381.0
330,-344581319.3925921,-1441805926.0908456,789260.0
331,-330912366.831055,-1440678605.0032983,790750.0
332,-312516952.029467,-1436557229.409226,790268.5
333,-301644741.22696936,-1432479125.4565778,788245.0
334,-295624984.1011425,-1420952366.817963,790053.0
335,-273501990.6415136,-1421252871.8223648,790357.0
336,-256717910.42253602,-1403615144.6136086,788885.0
337,-239824039.99559832,-1414255926.5487728,788336.5
338,-235005935.21093732,-1393635649.4130716,789616.5
339,-216358171.27061242,-1378187378.425396,790330.0
340,-200740371.35217357,-1379396619.3721468,794186.5
341,-184110752.10310096,-1360754479.3141842,793147.0
342,-182564449.57519698,-1356981639.3810105,794979.0
343,-170408574.12169635,-1348869664.218334,793650.5
344,-151386078.4526167,-1361767580.5947847,794381.0
345,-140414923.95123738,-1348822865.9540854,792886.0
346,-126907190.63972056,-1348398733.6874018,791832.0
347,-122701744.6228705,-1348095172.9581356,792708.0
348,-128391579.04337978,-1340800697.5447009,792869.5
349,-112334248.67883754,-1341643519.2803016,794322.0
350,-112351258.71990949,-1343759879.8471012,793432.0
351,-101285466.0252347,-1341666944.4099479,794139.0
352,-89874810.42609584,-1362852109.6725178,790939.0
353,-89174175.23653871,-1356115486.6892073,791235.5
354,-89843236.42562926,-1341009005.1391256,793315.5
355,-88359128.1874938,-1325558226.9039528,793026.5
356,-86432608.95527077,-1312932015.336609,793795.5
357,-89753668.41608447,-1301256722.1951594,794234.5
358,-88763677.20902568,-1295047133.071936,793887.5
359,-87054518.85699296,-1295121123.3146915,794897.5
360,-92451002.25756365,-1288269987.242825,794191.0
361,-73782849.30591565,-1289382843.2257004,795057.5
362,-73184786.9047224,-1291093145.1536212,795570.5
363,-68928373.35968,-1285851548.1331973,796018.0
364,-70874671.04799885,-1291764117.0177844,794057.0
365,-69856003.05024481,-1283521656.9410467,795124.5
366,-72916006.52308261,-1284211788.0412045,795522.0
367,-86897727.41699433,-1270538118.8106272,797288.0
368,-81793721.68439889,-1270082530.4826787,799895.0
369,-76941162.28200221,-1257623334.3513625,802195.5
370,-59877003.571055055,-1261145693.8957083,804383.5
371,-65293041.4792186,-1274981769.0734296,806488.5
372,-62076092.037765145,-1242992080.7061024,805976.5
373,-60141169.117984116,-1241587628.9129767,806540.5
374,-66846752.318341434,-1221922647.2754583,804579.0
375,-70276182.9782893,-1236313517.170523,807922.0
376,-86412699.72917706,-1227103224.172821,809672.5
377,-82197119.46078908,-1217044316.0647957,810897.0
378,-83448423.2519787,-1209912316.7935998,811477.0
379,-100722802.81911814,-1183937881.392396,811268.0
380,-103251017.76056379,-1194332663.5190072,813682.5
381,-103726444.82763457,-1169761340.1232493,811917.0
382,-95251039.99500418,-1166893364.5927496,811703.5
383,-95074312.04421276,-1163866313.3130703,812723.0
384,-92277555.6715126,-1168627395.7402592,813755.0
385,-107561557.17822981,-1167826126.6596947,813378.5
