スケールs,∂J/∂s
1.2,-516002399676.257
1.206060606060606,-518465209635.69415
1.2121212121212122,-525489763408.1752
1.218181818181818,-528033006611.90784
1.2242424242424241,-526724544251.5841
1.2303030303030302,-529969949831.0343
1.2363636363636363,-522074259915.95703
1.2424242424242424,-524060687714.7813
1.2484848484848485,-516984251053.0314
1.2545454545454544,-502406612403.758
1.2606060606060605,-499064346582.452
1.2666666666666666,-486544949628.0241
1.2727272727272727,-472135051249.9938
1.2787878787878788,-477510519431.3506
1.284848484848485,-478785447869.73126
1.2909090909090908,-473584136040.5955
1.2969696969696969,-472966560552.2094
1.303030303030303,-474727003126.401
1.309090909090909,-469361088720.84766
1.3151515151515152,-460143727748.09924
1.3212121212121213,-467087446973.3916
1.3272727272727272,-465800782782.8867
1.3333333333333333,-478462322451.4155
1.3393939393939394,-482922075605.06976
1.3454545454545455,-490431544586.3943
1.3515151515151516,-492592280739.4494
1.3575757575757574,-497109057400.65784
1.3636363636363635,-496907103478.1113
1.3696969696969696,-500963901213.8828
1.3757575757575757,-508359751500.897
1.3818181818181818,-516196957024.1648
1.387878787878788,-505986248574.51117
1.393939393939394,-510624148315.7412
1.4,-503969560933.72253
1.406060606060606,-503542813869.2484
1.412121212121212,-525217366699.40155
1.4181818181818182,-536322709140.4934
1.4242424242424243,-544093214190.74445
1.4303030303030302,-530198012879.356
1.4363636363636363,-525919092734.3951
1.4424242424242424,-516969736451.0342
1.4484848484848485,-495548532962.74744
1.4545454545454546,-473822375982.98206
1.4606060606060605,-469457773234.6011
1.4666666666666668,-450354382849.9645
1.4727272727272727,-390779546092.51904
1.4787878787878788,-324356270514.23
1.4848484848484849,-237238655371.31726
1.490909090909091,-156987248076.32193
1.496969696969697,-52840714017.54196
1.503030303030303,-11829806610.915195
1.509090909090909,9739954241.743967
1.5151515151515151,16088742729.775276
1.5212121212121212,26114439246.67371
1.5272727272727273,44507071285.43855
1.5333333333333332,58971451400.3078
1.5393939393939395,91689610353.78482
1.5454545454545454,103688496743.47287
1.5515151515151515,120423710777.51529
1.5575757575757576,126497834629.89894
1.5636363636363637,132522366150.07031
1.5696969696969698,125801856677.24043
1.5757575757575757,113759958608.63187
1.5818181818181818,111155524312.86563
1.587878787878788,110783639140.70987
1.593939393939394,111690853348.12791
1.6,104432154068.03961
1.606060606060606,110129817922.79932
1.612121212121212,102752488345.00894
1.6181818181818182,97987310033.94156
1.6242424242424243,87625731878.6419
1.6303030303030304,85804156773.41608
1.6363636363636362,88894074359.22606
1.6424242424242426,86211450489.07831
1.6484848484848484,80040212408.16214
1.6545454545454545,78723026001.61172
1.6606060606060606,79085675777.71811
1.6666666666666667,75514433968.61847
1.6727272727272728,75595498669.5743
1.6787878787878787,71015095099.46133
1.6848484848484848,72436820912.89313
1.690909090909091,65643072919.2862
1.696969696969697,65239896356.31009
1.7030303030303031,61146414023.423836
1.709090909090909,54224220905.73607
1.7151515151515153,49133846581.56785
1.7212121212121212,40395880212.57642
1.7272727272727273,41423984547.53969
1.7333333333333334,45320254083.50231
1.7393939393939393,40710428973.62393
1.7454545454545456,40501097258.018
1.7515151515151515,38283128273.35764
1.7575757575757576,32734082081.849182
1.7636363636363637,29525309542.616684
1.7696969696969698,24711095007.443855
1.7757575757575759,19102445340.781494
1.7818181818181817,20009175485.495552
1.787878787878788,14837023994.907722
1.793939393939394,7191216517.836601
1.8,411149203.63623047
