回転角度θ（度）,∂J/∂θ
20.0,-110574879393.7114
20.2020202020202,-112518029052.90213
20.404040404040405,-109406243055.64948
20.606060606060606,-107486311619.08365
20.80808080808081,-106818626655.57835
21.01010101010101,-108143792951.1948
21.21212121212121,-106294942656.80846
21.414141414141415,-106009046047.10454
21.616161616161616,-106675779490.4428
21.818181818181817,-108554580956.53214
22.02020202020202,-105257949658.67107
22.22222222222222,-102595132007.93477
22.424242424242426,-96885765194.20665
22.626262626262626,-99851820833.79008
22.828282828282827,-98450513972.53725
23.03030303030303,-96016001048.13564
23.232323232323232,-101182766678.13423
23.434343434343432,-102597399464.08824
23.636363636363637,-103213631271.0763
23.838383838383837,-106820019019.93118
24.04040404040404,-105461402531.4473
24.242424242424242,-109487760191.72314
24.444444444444443,-113286439972.80939
24.646464646464647,-116008761744.90985
24.848484848484848,-111852516084.69934
25.050505050505052,-117704048983.55951
25.252525252525253,-117713563700.85037
25.454545454545453,-120677236913.2963
25.656565656565657,-117195743750.64774
25.858585858585858,-119608131253.83582
26.060606060606062,-123759246081.02962
26.262626262626263,-119920279605.87328
26.464646464646464,-128192625217.91484
26.666666666666668,-133821671665.30585
26.86868686868687,-139003818757.68607
27.070707070707073,-139672719692.8026
27.272727272727273,-143334941158.4808
27.474747474747474,-150842759763.70383
27.676767676767675,-153606704536.5187
27.87878787878788,-161060927669.2417
28.080808080808083,-170094373365.63663
28.282828282828284,-165173514806.4815
28.484848484848484,-158121614260.5486
28.686868686868685,-144434010915.85837
28.88888888888889,-126034295094.30154
29.09090909090909,-112419844275.12717
29.292929292929294,-81920299584.83273
29.494949494949495,-61020388204.75371
29.696969696969695,-39847623469.44331
29.8989898989899,-11317876150.662367
30.1010101010101,53259478883.741745
30.303030303030305,159482936328.2272
30.505050505050505,247924139809.06387
30.707070707070706,348500688198.96826
30.909090909090907,432977289378.3338
31.11111111111111,501738166666.14746
31.313131313131315,548427303181.82947
31.515151515151516,579626990637.0447
31.717171717171716,598602170176.3689
31.919191919191917,603323932811.2458
32.121212121212125,611662240685.6758
32.323232323232325,614698159330.4523
32.525252525252526,624031689929.4913
32.72727272727273,623857499429.2747
32.92929292929293,624095522896.9381
33.131313131313135,620804659442.5558
33.333333333333336,608181758033.723
33.535353535353536,615645592553.8251
33.73737373737374,609672856051.4226
33.93939393939394,605427151544.062
34.141414141414145,596624807897.8179
34.34343434343434,590160334413.2483
34.54545454545455,593170184681.6595
34.74747474747475,596328994670.0388
34.94949494949495,592724851542.0737
35.15151515151515,595447058345.2299
35.35353535353535,596097032747.7362
35.55555555555556,593662691552.7129
35.75757575757576,591631342848.2968
35.95959595959596,590025651458.4958
36.161616161616166,582621171554.6359
36.36363636363636,584142673576.2227
36.56565656565657,585819942452.1056
36.76767676767677,586153399450.2733
36.96969696969697,582050397814.9886
37.17171717171718,579085906364.4482
37.37373737373737,573415484534.45
37.57575757575758,578216771771.3284
37.77777777777778,576652498611.047
37.97979797979798,573456078296.0459
38.18181818181818,575505912000.6324
38.38383838383838,580815094623.1367
38.58585858585859,578550930648.8269
38.78787878787879,579931814474.1971
38.98989898989899,577475469497.3881
39.19191919191919,579787143584.0303
39.39393939393939,579730637889.5096
39.5959595959596,578685587265.2417
39.7979797979798,578165467639.5256
40.0,578003989903.3325
