反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,1588473.0,-2165522611.0,861110.5
1,1874037.3135723025,-2165522385.3291664,861110.5
2,2159600.141839225,-2165522123.709306,861110.5
3,2445161.491978757,-2165521826.492839,861110.5
4,2730721.3711228594,-2165521494.0287666,861110.5
5,2930116.1451509707,-2155702497.9948688,857738.0
6,3376265.907844458,-2156328332.369104,856424.0
7,1864562.7172661237,-2151754445.3854165,859477.5
8,694473.6289079227,-2151555508.6568403,860754.5
9,30079.563364222646,-2152622445.1036463,859944.0
10,2530498.2754763104,-2150074945.8851786,859508.0
11,3085384.5641597398,-2153096527.7933736,856535.0
12,1095545.0141166002,-2145090161.6000504,854739.5
13,1697404.8513720818,-2143319538.7193778,854569.5
14,445999.6070921272,-2146234925.3832626,854281.5
15,4223820.324961841,-2152028485.065732,852212.5
16,5652922.408983901,-2145543568.4964595,852633.0
17,8793535.648329075,-2150893720.233595,855948.0
18,12291778.956915766,-2150241840.3502045,852309.0
19,16153967.561961748,-2149068435.850967,850318.5
20,15778040.174612075,-2146829124.994439,851790.0
21,16613527.022538524,-2144220774.6127462,853577.5
22,16623895.953492861,-2135895157.3405564,852901.0
23,18080538.23728347,-2135832613.2633958,857247.5
24,20133550.957507394,-2138733978.9635208,857638.5
25,22613284.690585617,-2140401006.3273623,856530.5
26,22031857.077999625,-2138624375.2152777,857904.5
27,20943400.30194451,-2142085600.3977757,859626.5
28,20380910.51633995,-2142628658.3422322,861645.5
29,21456108.77757799,-2137540567.7950957,862481.0
30,21615510.178913854,-2133864532.6570773,862541.5
31,18887478.534435444,-2125660176.4501863,862269.5
32,19334155.98958535,-2125606543.5943785,861062.0
33,20409547.120316733,-2125384575.6235244,861690.0
34,20927599.606385775,-2123970101.7763727,861593.0
35,19010849.51226098,-2120767471.216375,859254.0
36,19864162.236249622,-2116564692.8475175,860327.0
37,19226169.50474898,-2113811053.7570229,857163.5
38,20834005.577189043,-2115138876.7510543,861425.0
39,22490941.409662522,-2117431702.1549783,859727.0
40,21660964.301293507,-2116129856.7718694,860885.0
41,21140187.61647609,-2109264021.1778822,858622.5
42,19022999.840766307,-2108110203.4167924,856704.5
43,19252224.485617273,-2108709576.6305914,858489.5
44,20344619.415502995,-2108522103.2567453,860207.5
45,22443368.918196663,-2108637450.5385303,857823.5
46,19514028.32329765,-2106351007.0567,858617.5
47,19475474.489186615,-2106441776.0515363,857733.5
48,17326550.32612045,-2108260109.5525613,857920.0
49,16835692.23108518,-2109570592.5265832,859538.0
50,15582026.613407917,-2103645364.666212,858746.0
51,16377232.35301371,-2099713623.0026374,860553.0
52,18466102.328045547,-2094258948.7579734,861057.5
53,18517880.50018008,-2093424926.5948002,860942.0
54,19141966.328129914,-2093915444.6694434,859706.5
55,22078910.928499196,-2089120797.9297924,859459.0
56,21792301.18609147,-2089202262.551231,857110.0
57,23231497.03387063,-2086696887.9693456,857292.5
58,25337078.917957168,-2083921850.23441,856440.5
59,25055444.968797177,-2083454345.9376633,855405.5
60,27291251.141208757,-2083837437.5955763,856461.5
61,27158079.511913978,-2079858472.278297,858793.5
62,26376334.749560446,-2075591048.2177808,858916.5
63,24700301.01578756,-2073966384.7151587,861360.0
64,22233377.863029998,-2074806603.6822507,861278.0
65,21051820.787425946,-2072325250.0758622,859776.0
66,18406866.477708947,-2065774956.0589037,856858.5
67,17381481.218124036,-2062455013.322902,858166.5
68,17690345.141032547,-2061616589.6192002,860410.5
69,18203771.666842926,-2061256633.3939095,857949.0
70,16811652.669204794,-2058831346.4072466,856429.0
71,21140254.225375302,-2057022994.3033686,855119.0
72,22433204.812304087,-2054283148.1399856,857907.5
73,22880686.894789837,-2053553408.4634268,860231.0
74,24848470.607939847,-2049259193.709459,860599.5
75,25332972.582380302,-2044770100.7596812,861946.0
76,28549003.28011103,-2043597586.124369,859844.5
77,29897050.8062611,-2042273327.063504,858254.0
78,31250496.908733428,-2038604861.4525547,859813.0
79,32095451.063105546,-2037361527.687502,857542.5
80,32209854.731153972,-2034518568.1070406,856292.0
81,31222989.448197212,-2032970975.1887822,857837.5
82,31423147.073310778,-2031055436.8287916,857147.5
83,31592911.666595884,-2026171096.201784,858487.5
84,32362918.797599487,-2022742858.1933572,860306.0
85,33909913.34663512,-2026990152.5476685,858601.5
86,34438076.98877535,-2030876172.338892,856397.5
87,34790252.642914414,-2030727160.384544,856961.0
88,35291666.042204365,-2032387219.7028956,856866.5
89,36637711.25976161,-2034133671.026501,854422.5
90,37377140.915699944,-2031315742.7072616,856985.0
91,37724675.74853113,-2026206134.8453732,855433.5
92,40958284.257045016,-2023439586.7385716,851791.5
93,39356116.70508805,-2015375923.2414813,852124.0
94,39743771.02250233,-2014692496.13814,853107.5
95,40130592.6538199,-2012388825.6576526,853849.5
96,37454445.151163265,-2014619708.2518456,856567.0
97,38903620.29126327,-2017876617.1357882,855529.5
98,38875013.363472804,-2017817419.419665,857883.0
99,41393688.737412766,-2017620409.0064163,858781.5
100,43049235.66828722,-2019671031.2392457,859765.5
101,42540309.373279646,-2017869776.8063238,860077.0
102,43557302.555931225,-2019533129.213358,860599.5
103,43091043.94220901,-2017043243.5183244,862470.0
104,44060653.43058199,-2017170160.6398883,861532.0
105,44426659.352086484,-2010767215.3426166,857067.0
106,48153905.29267936,-2005719971.5942953,858751.0
107,48687912.52400758,-2008455243.926392,861248.0
108,47102141.38913141,-2009169894.9888353,860567.5
109,49574650.39156614,-2009789528.052044,858821.0
110,46895455.52424731,-2016487302.201779,859468.5
111,44499684.84030909,-2018514043.3798234,859562.0
112,45985921.11906159,-2017256374.6407785,857751.0
113,45760007.42421443,-2013623449.086071,857512.0
