反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,2829290.1355824233,-46697698.64182195,860498.0
1,4378782.372053948,-74502639.10131672,861267.5
2,4989525.080336947,-101064424.00700152,860227.0
3,5909371.160724833,-123981562.9009263,860835.5
4,7382494.81732982,-140378567.76255873,861584.0
5,7121098.719539776,-188149231.5577435,861340.0
6,8486091.39751945,-211605626.43348348,863849.5
7,9041856.71418446,-238950454.1060713,862334.5
8,10312896.825480638,-285934859.3820712,864031.5
9,11634167.081052272,-311492172.30545384,862453.0
10,13190614.464681858,-361166458.3251087,863081.5
11,16735086.076654583,-390628373.0761019,862114.5
12,17616522.113591194,-430973479.853786,867151.5
13,20153506.19959978,-471794014.0349123,867591.0
14,21759543.231272563,-513775292.97102875,868532.0
15,24587826.446264468,-549491290.0986054,869984.0
16,26887749.64715448,-578241234.6840527,867307.5
17,31676272.867076494,-626341605.3218163,867174.0
18,29170250.386005953,-689889304.1602747,870938.0
19,34543702.10251297,-728118942.6675524,871100.0
20,34089060.822631575,-757231104.2341633,869739.0
21,37601201.42632329,-785345160.1069618,867067.0
22,46816359.75549829,-805872400.7691371,869903.5
23,48040594.45712086,-862514825.9983476,867393.0
24,46654547.37714179,-892259080.8931991,869738.0
25,42955312.89658542,-930490752.6163851,866919.0
26,38869789.45589149,-958115980.3428185,873239.0
27,50190041.36162554,-1016229475.5589604,870204.5
28,36498885.2487224,-1015613553.5864987,871590.5
29,47942049.23731556,-1042541454.1104721,872410.0
30,43674493.32675282,-1078546872.2490342,873791.5
31,50648041.419688076,-1121738372.0674746,869546.5
32,45948661.52638778,-1140780637.5369925,872271.5
33,54458250.202900395,-1184506871.6054146,874200.0
34,54599749.32487298,-1218183743.8189063,873299.5
35,59196324.65666032,-1271883069.8856933,869869.5
36,64757433.654085286,-1297586716.3756924,872609.5
37,66846843.524502136,-1361760185.7579207,872098.0
38,78894190.91398665,-1401714080.12111,872683.5
39,78514263.30834597,-1420769803.7250228,866367.5
40,90338973.30908418,-1450347187.0524895,869972.0
41,88141520.36418228,-1510320672.2651694,869953.0
42,95844315.80142558,-1554080858.1607404,868228.5
43,106336201.53953636,-1559595024.6377528,867926.5
44,116847853.53472413,-1560774702.4347672,870945.0
45,107641673.17903048,-1613483943.4401424,867248.5
46,120233491.57886674,-1648816230.9685032,865104.5
47,120231887.85108376,-1650827292.9564404,863592.5
48,120607108.97973618,-1687555718.3927221,863710.0
49,123630552.49091114,-1725877471.912436,865051.0
50,132122781.68713918,-1750558988.4438705,862243.5
51,136182740.4189193,-1814478226.5674245,860630.5
52,140574954.87100336,-1826246634.5526338,865557.0
53,134971758.7285425,-1884364752.948137,863417.5
54,137788948.33577403,-1943626432.5153775,858704.5
55,131463387.3776677,-1961456056.9097152,861410.0
56,148151196.75714102,-1999799402.2965426,858423.0
57,158732646.9256168,-2074116365.2608232,861540.0
58,145151909.53030527,-2093315776.6085765,859169.0
59,153131964.0413095,-2161837666.1431227,860532.5
60,126572211.3552592,-2215550168.365158,862462.5
61,128199611.71691059,-2261502829.450797,863302.0
62,124444735.5274669,-2294939427.060506,860830.5
63,129695395.28166749,-2329209494.6528196,858668.0
64,112485428.7608295,-2350593007.685233,853565.0
65,132536543.87383069,-2378852225.975593,847917.5
66,118756070.24476662,-2427680900.7192774,847359.0
67,108564656.81293501,-2492354843.1262636,848686.0
68,100888514.8046264,-2510319185.774909,848346.0
69,119074818.47926912,-2551907840.433781,846861.5
70,114330731.4971709,-2588807070.452864,841562.5
71,112440955.62245643,-2608398887.1610446,838650.0
72,105533856.83390802,-2649764580.2362013,842211.5
73,89733226.25030932,-2688933290.6355505,841024.0
74,104771340.49070719,-2751571184.1622458,838550.5
75,107718071.97896104,-2778311274.6489315,843574.0
76,133332328.5726603,-2811966891.5774465,839164.0
77,109102545.31765997,-2809834827.6954327,836631.0
78,127765038.7812199,-2873982947.0352087,838024.5
79,115779470.1365123,-2910898467.518032,837966.0
80,108812384.10574415,-2894759679.619379,831581.5
81,119853821.84064831,-2980891655.4857483,830356.5
82,133572374.70183554,-3013348689.2469006,834344.0
83,126105037.25231913,-3037067534.446107,836524.0
84,127086101.08746144,-3067383343.1390715,837440.5
85,123970226.56482631,-3135661483.8304095,834109.0
86,94185776.45173457,-3107075556.5028057,833500.0
87,129526305.45966186,-3106971854.380082,836474.5
88,139500414.88561738,-3151659350.299754,836406.5
89,143937568.80150634,-3175927247.6837273,839787.0
90,153325612.79898328,-3160956618.8825836,838703.5
91,167049789.14826185,-3208969991.778287,836649.0
92,156378975.81714243,-3233055148.6313715,837544.5
93,147505277.68187144,-3190461528.8031893,836754.5
94,152893341.34682545,-3195138386.3629365,843919.0
95,154525744.6061463,-3225630565.6197767,847103.0
96,165594028.96041346,-3244751076.4189396,845245.5
97,169730798.19843075,-3230241340.4133263,846653.5
98,163371718.9453707,-3211248825.033724,844186.5
99,167565725.37235555,-3244051145.041604,843371.0
100,164293061.86470813,-3232340075.775982,844739.5
101,160282386.6356943,-3209490399.6882377,846208.5
102,168640406.74609113,-3224221286.4711666,846853.5
103,169336836.8679844,-3223276518.24002,847090.0
104,186270330.14305124,-3227584794.1955957,847652.5
105,182375631.91452217,-3283828794.6275487,845534.0
106,192561681.96506462,-3266369603.3829975,844450.5
107,154658258.06121185,-3308872637.1068635,846413.5
