反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,1521296612.0393004,-2206411065.1953907,684716.5
1,1526386562.2167358,-2212702422.974226,683651.0
2,1514169368.5007265,-2213125852.572276,682793.0
3,1503837064.5758965,-2221583373.758968,680549.5
4,1473520068.2091634,-2209359345.889841,678198.0
5,1490389292.0974612,-2235521229.990977,678349.5
6,1494499691.313748,-2237501667.9441047,673752.5
7,1502152131.6385884,-2266144733.8330693,668966.0
8,1510645885.4452748,-2289126369.4170847,667200.0
9,1499308036.6306858,-2286828201.0138063,666157.0
10,1499880979.224195,-2289479641.8599033,663939.0
11,1492925329.6853895,-2296467925.440912,661691.5
12,1519660286.6303642,-2312404212.418939,659510.5
13,1533054098.056096,-2331259727.245054,658722.5
14,1515763917.9711947,-2299829632.141286,656253.0
15,1506460455.0042777,-2309460607.1266847,656197.0
16,1500477898.4943862,-2333358894.369083,655718.0
17,1495772700.226836,-2304220622.047823,653535.0
18,1503197621.3694005,-2313104253.056479,651057.0
19,1483209446.7257345,-2320756718.8930445,650077.5
20,1477105683.024271,-2282536433.968155,651419.0
21,1468232815.4084814,-2290107134.7049875,647776.5
22,1457503579.89176,-2295086085.474263,645438.0
23,1429469371.1033146,-2257825051.7102995,644044.0
24,1418238511.9553127,-2252791860.796851,643501.0
25,1432590985.994872,-2271640045.02953,642497.0
26,1449222028.1259491,-2282680439.2980704,640592.5
27,1437811219.340646,-2280208549.2270093,639969.5
28,1420328495.9217057,-2280332616.7742414,637395.5
29,1414046934.2177627,-2268080944.3269076,637381.0
30,1386055788.4894412,-2236862388.5852184,633631.5
31,1383720923.090415,-2244931066.741072,630176.5
32,1394690365.0048215,-2238893285.8404284,628959.5
33,1401711273.6049454,-2254760169.191434,626661.5
34,1383747835.3810017,-2250608372.6179333,623635.5
35,1362491017.569933,-2228452687.686821,621920.0
36,1350370942.5178456,-2198988159.10853,619640.0
37,1333497913.794106,-2203057942.6748614,618456.5
38,1321271347.862593,-2197290946.1980205,616159.5
39,1310646707.4235291,-2176049398.741773,614909.0
40,1331226161.1410403,-2169764412.856121,612562.5
41,1332514059.3960993,-2159358107.7125506,612798.0
42,1315722568.123177,-2143793279.0761309,611411.0
43,1312583035.2013283,-2147734067.273496,608939.0
44,1276619588.7184508,-2127028169.281303,607115.0
45,1272928704.2806938,-2151642267.122169,603868.0
46,1284476878.5560956,-2171947509.6056743,600837.0
47,1301283567.141995,-2181659170.013699,601037.5
48,1303348754.478008,-2187614610.712456,598752.5
49,1276372246.8367567,-2196665644.6456194,598146.0
50,1274573435.2912486,-2180800204.694436,595741.5
51,1250103009.074576,-2150200296.855643,593904.5
52,1246916749.1857238,-2127331515.5081282,590427.5
53,1261418360.670764,-2157856784.6760416,589298.0
54,1244119939.099422,-2127677050.9161563,586834.5
55,1227804275.700027,-2122870619.1824975,583523.0
56,1214244700.0464962,-2102594036.5128808,578999.5
57,1211054444.7363462,-2079976956.6926732,575842.5
58,1196256691.0603225,-2085687369.6453266,572430.5
59,1193474791.3380089,-2078391185.617581,571268.5
60,1189451736.3220954,-2077177013.7563024,570473.5
61,1174976783.4045296,-2080175530.2269115,567786.0
62,1182281642.8455286,-2082722553.1404452,562851.5
63,1200847426.6092868,-2097174215.0766199,561689.0
64,1220009752.9491582,-2106011498.4537232,557811.5
65,1219633807.6729681,-2114155147.826384,554885.5
66,1248005447.5609617,-2152735905.0146613,551533.5
67,1234504714.4758747,-2138904022.8275268,547957.0
68,1237705064.5462415,-2130042513.425394,544599.0
69,1211301068.4946012,-2121380380.2727182,540495.0
70,1250314281.7523932,-2126496955.1848364,538889.0
71,1248077295.1186771,-2139520187.477934,535512.5
72,1257304024.9843547,-2157353270.3853736,533656.0
73,1262511244.1721687,-2148657938.480448,531768.5
74,1256803136.8199458,-2149435009.172507,527341.5
75,1261445098.2817376,-2170844943.704118,522671.5
76,1246492553.9941485,-2155376449.7165766,519896.0
77,1252280919.0919309,-2162424954.1510267,515295.5
78,1249803498.625178,-2163627324.5915794,512703.5
79,1257784975.034852,-2164675080.5969143,508141.0
80,1257436889.3760953,-2136029230.9845057,504605.0
81,1259813690.068912,-2139403855.9940534,500438.5
82,1254506833.8459628,-2151904246.9413977,495719.5
83,1261734037.126847,-2164160120.1548996,491275.5
84,1258060319.4544759,-2153951442.4292536,487564.0
85,1251235711.559457,-2175489585.048998,484049.5
86,1286368794.1486197,-2208795526.9336433,480807.5
87,1305407817.2527122,-2227502380.6091585,477187.0
88,1334883429.9586935,-2222399554.0078244,473585.5
89,1342903376.8142767,-2235772317.1849775,470423.5
90,1405831556.7807279,-2302348487.3977995,463537.0
91,1438030556.4734378,-2322077674.986344,458880.0
92,1414833616.201668,-2304644640.380048,456303.5
93,1355242345.9530964,-2226845401.798278,450201.0
94,1366257523.8332033,-2239160484.8402767,446484.5
95,1345827565.0085113,-2184389237.169735,442335.0
96,1373293990.7214277,-2218288171.279348,438431.5
97,1378430440.0064692,-2254593557.709349,434474.0
98,1351838734.8318322,-2264573345.946756,431917.5
99,1321598020.1799188,-2248990438.5630903,425649.5
100,1341167114.8074918,-2254863254.7504306,421268.0
101,1397768413.750492,-2299421754.736473,417927.5
102,1435117867.0191746,-2309224632.9452066,409835.0
103,1486311513.2893193,-2378140468.2836885,403622.0
