反復回数,回転角度θ（deg）,スケールs
0,119.9576578943881,1.4993532107128331
1,119.91407412486674,1.4987390673259753
2,119.87078855361978,1.4981062934579403
3,119.82675336450362,1.497460719017933
4,119.7823578775906,1.4968313771566515
5,119.73768245108226,1.496205230866992
6,119.69365588074379,1.4955635417252464
7,119.6498053976154,1.4949365773214591
8,119.60555214942735,1.4942877636411025
9,119.5609660670683,1.4936560696890693
10,119.51602424133611,1.4930473281407126
11,119.47159837071493,1.4924448934444596
12,119.42681494861354,1.4918537706119062
13,119.38281639845032,1.4912333486596936
14,119.3388009267715,1.4906215114979982
15,119.2956255701192,1.4900052298561206
16,119.25259781366144,1.4893844794371711
17,119.209155693607,1.4887838743192285
18,119.16515664045453,1.488201302281356
19,119.12136108911454,1.487619484304315
20,119.0792550321824,1.4869806808675197
21,119.03798575370695,1.4863142654704617
22,118.99772496505261,1.4856311744472477
23,118.95742185129787,1.4849445066177125
24,118.916797902488,1.4842246850777463
25,118.87673399548771,1.4835064249757572
26,118.83686004552358,1.4827882679043032
27,118.7967637788757,1.4820751026575252
28,118.75612671350635,1.4813863833542176
29,118.71525939463953,1.4807091527910745
30,118.67479134262076,1.480030343222733
31,118.63442699400267,1.479343854299258
32,118.59466888927786,1.4786369066662388
33,118.55458435403928,1.4779597408487841
34,118.51424660284715,1.4772763438995569
35,118.47421445464614,1.476577073399065
36,118.4351867354391,1.475842272071911
37,118.39657995112793,1.4751061414828601
38,118.3579100609454,1.4743735415590982
39,118.31972531228577,1.47363421149286
40,118.2819981621727,1.4728848215704866
41,118.24394394668055,1.4721564781151413
42,118.20556321067471,1.471445472802366
43,118.16688711701376,1.4707501252360724
44,118.12794334623949,1.4700724942043715
45,118.08826287426143,1.4694154815662317
46,118.04807629346644,1.4687986086234806
47,118.00831019972276,1.468166601068167
48,117.96843158522465,1.4675387346878515
49,117.9286512021141,1.4669099405958794
50,117.88824550558218,1.4663055689877516
51,117.84689921135462,1.4657287026501842
52,117.80608349008601,1.4651371980399222
53,117.76467979619979,1.4645726692278045
54,117.7229076914712,1.464019775735892
55,117.68115666022399,1.4634656399861026
56,117.6402551979829,1.4628882385084392
57,117.59943471704973,1.462313596235131
58,117.55856916989124,1.461729591603965
59,117.51804774917562,1.4611421429571962
60,117.47747176467148,1.4605831331129149
61,117.43705488508725,1.4600201015473138
62,117.3962570840354,1.459467698475258
63,117.35601748015745,1.458897768364073
64,117.31468591120279,1.4583800793408672
65,117.27297454112419,1.4578860818506965
66,117.23184816314168,1.4573604914571257
67,117.1910125776397,1.4568238626614758
68,117.14986603799296,1.456285492429251
69,117.1087615378862,1.455746369705408
70,117.06766537705023,1.4552031779095127
71,117.02657158965576,1.4546551810970643
72,116.98587017467958,1.454088040944621
73,116.9449405798209,1.453510086733052
74,116.9042072779157,1.4529211690176536
75,116.86326699761354,1.452337192461724
76,116.82270250314063,1.451746011480866
77,116.78238668704597,1.4511360396375261
78,116.7420814937233,1.4505271348198627
79,116.70210517649505,1.449916653040352
80,116.66248527402267,1.4492901708070862
81,116.62223017836669,1.448665789984962
82,116.58195830165987,1.4480317208582114
83,116.54209588945821,1.447404446461147
84,116.50210270105957,1.446771353701676
85,116.46162280331335,1.4461627366296266
86,116.42120986337241,1.4455473313704506
87,116.38045765794858,1.4449418790774655
88,116.3389877353916,1.4443493188433236
89,116.29705963246087,1.4437865257119744
90,116.25389706491592,1.4432526777282735
91,116.21058572304923,1.4427388985674954
92,116.16746639587515,1.4422034319270614
93,116.12463808814485,1.4416596832318762
94,116.08161439768014,1.4411050599617405
95,116.03878692109002,1.4405417092598658
96,115.99617383527298,1.439959988271822
97,115.95329772190063,1.4394032374221704
98,115.91039105598308,1.4388401001479907
99,115.86712112258002,1.4383011692100451
100,115.8247091049884,1.4377316315908328
101,115.7819116197881,1.4371807083735704
102,115.73931630948245,1.4366302273318616
103,115.69637552026653,1.4360911996669692
104,115.65352203282288,1.4355480197343127
105,115.61065216128945,1.4350017850805632
106,115.56717348973211,1.4344906044144692
107,115.52325082791361,1.4339905279189797
108,115.4797252564057,1.4335266747629625
109,115.4368854957132,1.4330430069188562
110,115.39362822256821,1.4325565682087882
111,115.34974739790049,1.4320736114368875
112,115.30624811706991,1.431586159476847
113,115.26317845341616,1.4310884233199415
114,115.22041663063364,1.430568952007698
115,115.17785042266995,1.4300007396657863
116,115.13519888272508,1.4294425490672613
117,115.09288915443072,1.4288708367393315
118,115.05066130060233,1.428313395563501
119,115.00899485039291,1.4277428353472301
120,114.96659933248988,1.427204825170887
121,114.92396664176594,1.4266762503285983
122,114.8809559473969,1.426171254833898
123,114.8374150671307,1.4256694581258833
124,114.79400598127977,1.425166127604574
125,114.75006543869377,1.424680485645415
126,114.70490836443888,1.4241978285065613
127,114.66018815674246,1.4237048183434138
128,114.61484405218177,1.423209131044958
129,114.57020350931198,1.4226903456155298
130,114.52533700844621,1.4221863188926598
131,114.48032963010473,1.4217124212444197
132,114.43535721080586,1.4212053729314864
133,114.39063613141859,1.4206820749084395
134,114.34841271264438,1.420150821678216
135,114.30672675352034,1.419645060210657
136,114.26499033316935,1.4191284456939526
137,114.22237300922134,1.4186315029780292
138,114.17982572639492,1.418139842273924
139,114.13720450821873,1.4176513055895188
140,114.09410823966049,1.417184600250758
141,114.05031264447554,1.4167471735334962
142,114.00551166317932,1.4163402815207622
143,113.96074887766676,1.4159391732965008
144,113.915904696753,1.4155456914637434
145,113.87092012999064,1.415139126333626
146,113.82530610691008,1.4147425480212075
147,113.77975559823794,1.4143302866147254
