反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,2043221858.1774542,787333730.334239,924889.0
1,2065395022.589356,787325255.6020051,924824.0
2,2068512078.3333142,792313703.6840186,922716.5
3,2101773158.9371033,804572752.1070105,923191.0
4,2103574601.794684,799955642.4515039,921546.0
5,2108520477.1994367,799358514.3306851,922547.0
6,2098019141.1468072,798173097.6443706,921186.5
7,2077332175.047872,787727789.8970032,919774.0
8,2105721903.0281417,800522625.0128454,919680.0
9,2106823475.0815315,797963068.6217861,920776.0
10,2106522821.8537838,792440395.4493655,918668.0
11,2081371856.5713062,783009294.881737,918351.0
12,2086699077.2948167,781135683.9303936,917573.0
13,2081518715.4844646,783285371.5859842,916187.0
14,2078088580.9734488,779369437.7792131,917109.0
15,2045710056.4855046,768956510.6203862,916830.5
16,2042310512.7013412,768564820.6414956,918266.5
17,2038633513.6154604,762233924.9470944,916557.0
18,2045742471.8004317,760783284.6403182,918381.5
19,2039285553.6219459,758595892.8439537,918952.5
20,2014602401.6229484,761152302.3351623,919305.0
21,2002501823.9720175,761125379.5642891,916871.5
22,1975679349.6487408,755082507.7695367,917072.5
23,1978114918.1870947,755890980.0003679,916853.5
24,2009345668.534277,771980170.9069654,915170.5
25,1983787295.7625306,763214822.1043743,915038.0
26,1978138694.2042775,761329481.9176607,914640.5
27,1983264306.8321772,761869320.4417886,914214.0
28,1982880306.366119,754753314.318207,915449.0
29,1983901300.2534714,751947799.3086106,915273.5
30,1972238287.7868838,747334042.5623204,915261.5
31,1970051654.425114,746489927.5844629,914985.0
32,1961640641.7820058,748009119.3131404,915705.5
33,1952060367.0831516,738125386.4216702,917060.5
34,1968270544.6188965,743413586.5456575,917348.0
35,1966435780.2586114,745709282.8669585,916171.0
36,1950867449.2244086,749019843.0214442,917741.5
37,1934005105.5137963,743280341.114235,920034.5
38,1938054168.211301,743400557.9830521,921020.5
39,1923647956.8427181,739851173.0429869,921878.5
40,1911831989.403342,737124572.415264,922802.5
41,1910464215.3647597,731244557.9076809,922984.0
42,1908614569.3119512,726837536.9305494,924036.5
43,1910027573.3891382,723059401.5507745,922679.0
44,1904077910.1832416,717134016.5576296,922758.5
45,1913882191.5889401,715259740.2895603,923420.0
46,1910494451.716819,706166013.4610195,923180.0
47,1904264544.2884407,706429301.0318042,922074.5
48,1902806385.2456093,704404627.3613383,921952.0
49,1902055696.258555,702969721.8703535,923204.5
50,1909741446.852631,699528065.65679,924428.0
51,1925158587.6044118,697663291.8426502,925111.0
52,1910470340.278235,695256137.3428268,923913.5
53,1913909549.0353973,689532720.5757576,923316.5
54,1917840510.7900352,688671258.2369753,925726.0
55,1920933983.12411,689756343.8748183,926907.5
56,1905038761.7526135,688860145.8142899,926021.0
57,1903344794.6356158,686495963.4985979,924611.0
58,1909871580.9531667,688816056.7020814,923195.5
59,1900451861.164947,686299009.1595091,924209.0
60,1883377644.6981113,675088163.8852346,925523.0
61,1879945142.9915328,674659027.9592313,924971.5
62,1885008431.907692,673264505.6382513,923946.0
63,1873827396.224072,672967173.7159292,924924.0
64,1881778340.2042973,665219509.3148866,924652.5
65,1885833444.6481767,659618267.2450303,923914.5
66,1882124682.6501045,663178769.3847908,924645.0
67,1876613188.2899215,663198529.6347489,923807.0
68,1883779174.7332907,664345729.1571501,924829.0
69,1883765245.5095348,664017596.6428379,925881.0
70,1884205373.527551,664192682.5445206,925454.5
71,1887140691.7589731,665937406.4614722,924334.0
72,1886062293.3587554,669109364.6471184,923572.5
73,1903862374.3942618,675833329.1201285,922395.0
74,1903402518.676846,676709424.8361735,921527.5
75,1906619286.8021665,676072473.88418,920919.5
76,1895366108.4417174,673099732.1235102,923518.0
77,1897229550.3563192,676621517.5577673,922705.0
