反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,9106021.0,-2012451785.0,867382.5
1,9304963.6029673,-2012450939.7443793,867382.5
2,9503905.366229754,-2012450080.1190968,867382.5
3,9702846.293566275,-2012449206.2652342,867382.5
4,9901786.388733074,-2012448318.3225684,867382.5
5,13734669.807460826,-2003315945.2887042,863996.0
6,18681823.165502492,-2020289834.5641623,864100.5
7,24380580.857904226,-1978621754.719683,864503.5
8,26845451.79263471,-1970492372.5829148,862624.5
9,25529108.546118516,-1971449870.4751348,861725.5
10,29414756.75309906,-1962544154.8888905,863258.0
11,20313904.86044749,-1966025739.3128047,861177.5
12,20574541.9638207,-1955723301.8447995,860858.0
13,17945640.43076108,-1953251315.8540282,859100.5
14,18667209.651222005,-1939967458.677862,858218.0
15,2968712.311395075,-1919191567.9083605,856837.0
16,7061632.290572636,-1915856636.3204265,856729.5
17,6044116.867264628,-1939021190.3742406,858056.0
18,5765761.491310149,-1931280594.1112132,858692.5
19,4226626.8869728,-1907144224.1207395,857191.0
20,-3405709.507658705,-1896671496.385187,856443.0
21,-6680205.129869245,-1867321292.14248,855156.0
22,-4908449.031217504,-1887492705.9628544,854388.5
23,1078893.2258153185,-1888645730.4907043,854503.0
24,-4540912.198113788,-1867559584.9153163,853160.5
25,-2828804.8183323666,-1877352211.7561064,853990.5
26,-9089359.40705625,-1871449251.6650035,854882.5
27,-1388024.1897929683,-1861041326.1107187,856154.0
28,-8289826.257424429,-1878959814.4669461,857695.0
29,-7095577.705742415,-1882610853.8055887,858854.5
30,1121220.178327985,-1876705663.3746629,858084.5
31,2804013.0468816534,-1873873907.5396574,857239.5
32,-3057361.5500089563,-1874447449.6207626,856364.5
33,-4594810.382700235,-1851423369.956664,855676.5
34,-1976940.6104869433,-1843284985.273868,856575.5
35,-4468990.860370357,-1843536773.9902458,859709.5
36,-3485067.7797920927,-1839062697.1650932,862093.5
37,228338.3036330808,-1848040506.7689881,862159.0
38,7065848.3134325445,-1841369851.6453195,864036.0
39,4550477.486954398,-1834481175.6267176,862811.0
40,1359995.4994516317,-1819239678.6773393,862741.0
41,5216999.145490764,-1828778811.114016,865555.5
42,12986589.030132966,-1822588829.4893641,862933.0
43,11699211.853759883,-1820304908.9951715,862611.0
44,7456779.257872552,-1812100385.5925655,862819.0
45,7695557.185049683,-1783797577.6166172,863207.0
46,17234499.750100456,-1780117423.6611032,860463.5
47,21568557.32531759,-1736567794.9240534,862884.0
48,19466386.428021073,-1748083942.8231494,863705.0
49,23662682.44919891,-1745121427.8067045,862825.5
50,16415832.058753634,-1735740712.6039853,864273.0
51,18228008.8180669,-1727368813.782486,861843.5
52,15174303.902912037,-1723470133.323211,863864.5
53,15057441.736530213,-1728426844.2102032,864492.5
54,17277577.226237528,-1729364250.4441772,864491.5
55,32401913.288888253,-1726825413.9953222,866563.5
56,37007692.02981222,-1713921220.7171526,865462.0
57,21406762.76139447,-1698832410.6111813,863917.5
58,20146412.735704504,-1674022846.0183578,865874.5
59,19751123.97123629,-1668414129.4134374,866143.5
60,17606489.576854765,-1632750901.5756602,863673.0
61,16052882.669982912,-1623233891.288434,863797.5
62,18750172.118500914,-1599631430.116722,863581.0
63,1048852.5010582171,-1617544327.8679953,867244.5
64,3617315.3216006085,-1618519335.8324666,866451.5
65,4603488.193356721,-1617960172.2246041,866803.0
66,8117517.360306833,-1604426023.2527962,866002.5
67,5230192.581582066,-1606211296.3438082,866659.0
68,10844496.81862767,-1605735845.1541219,866835.5
69,21624138.641193036,-1598093573.4904695,868464.0
70,25961922.20765781,-1603065774.9419813,865213.5
71,24798145.540596783,-1599902388.6507394,865387.5
72,23122449.49571506,-1606621490.916819,861307.5
73,19583155.218934663,-1606188890.3370636,861519.0
74,16666933.707142726,-1592573725.2047544,860862.5
75,15551072.121000715,-1591429574.453743,859517.0
76,18789266.291977715,-1599981988.8141937,858392.0
