反復回数,回転角度θ（deg）,スケールs
0,0.001361182377304692,1.001699578973271
1,0.002717745730726845,1.003399158510463
2,0.004069713530152043,1.0050987386087078
3,0.0054171090867401435,1.0067983192651568
4,0.006775917585544231,1.0084965629910296
5,0.0074832356806639995,1.0101898911882192
6,0.007892138184287335,1.011876172613497
7,0.008272014558971242,1.013561104065835
8,0.008549768891037566,1.015241601144108
9,0.008948101546049294,1.0169169601030963
10,0.010778229073435135,1.01859258805333
11,0.01069497519979222,1.0202642450096837
12,0.013506637827648254,1.0219355657484346
13,0.014302263423014234,1.0236006207905144
14,0.014618860348128853,1.0252804407943437
15,0.01432121431566555,1.026960387809473
16,0.014098751433712491,1.0286381740109183
17,0.01402673877272817,1.0303110752249018
18,0.013961375785405903,1.0319936713786866
19,0.01438984017634125,1.033674149987437
20,0.01497308786265563,1.0353607137297869
21,0.014733860084406705,1.037051649296665
22,0.01455133482051381,1.0387320683660268
23,0.014598165681060798,1.0404117342744483
24,0.014233394607846386,1.042099521549682
25,0.013801617529636163,1.0437845574988245
26,0.013500325273991958,1.0454712233005585
27,0.012998979563864916,1.0471513349813175
28,0.012684032072650505,1.0488288803781334
29,0.011139390891303082,1.050506810437366
30,0.010788490123679507,1.0521837457164627
31,0.011653440088602342,1.0538471749139915
32,0.010860823560262195,1.0555075030723613
33,0.008619764059019663,1.0571844080782387
34,0.008150516426807888,1.0588504433499897
35,0.007735207986506906,1.0605164632655664
36,0.007483488794283149,1.0621816289912787
37,0.004943374958298497,1.0638456798431088
38,0.002489456188735291,1.065505773477881
39,0.000534411796274045,1.0671570943252036
40,-0.001225051767603484,1.0687952450505758
41,-0.002911613075854242,1.0704314668117954
42,-0.005025874829799462,1.072073825011883
43,-0.007192748726597068,1.0737216125665492
44,-0.008969489035776223,1.0753613078485442
45,-0.010726494097247689,1.0769920344528077
46,-0.012307018216678766,1.0786198583994904
47,-0.014569447771013181,1.0802444090994356
48,-0.016947345173702742,1.0818642177364965
49,-0.018835356735955138,1.083470416787669
50,-0.02105419373888759,1.085067488802345
51,-0.022999994998277776,1.0866538752544743
52,-0.023946397630670288,1.088245393319477
53,-0.02475263114474835,1.089841678255826
54,-0.02658829168166685,1.091440233123186
55,-0.029236229441889763,1.0930401804150285
56,-0.03179892104316842,1.0946409240912218
57,-0.031817138317990164,1.0962371124636945
58,-0.03227338233801798,1.0978310953365142
59,-0.03274429504212663,1.0994133027494215
60,-0.032994585404278895,1.100988728505347
61,-0.034934344142296826,1.1025636566804689
